TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay
100.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,25.806451612903224,0.0,0.0,0.0,9.0
120.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,26.923076923076923,0.0,0.0,0.0,20.0
100.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,25.806451612903224,0.0,1.0,1.0,9.0
120.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,26.923076923076923,0.0,1.0,1.0,20.0
100.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,25.806451612903224,0.0,1.0,2.0,9.0
120.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,26.923076923076923,0.0,1.0,2.0,20.0
100.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,25.806451612903224,0.0,0.0,3.0,9.0
120.0,2.0,2.0,0.0,0.0,6.0,0.0,0.0,26.923076923076923,0.0,0.0,3.0,20.0
100.0,2.0,2.0,0.0,0.0,10.0,0.0,1.0,25.806451612903224,0.0,0.0,4.0,9.0
120.0,2.0,2.0,0.0,0.0,8.0,0.0,1.0,26.923076923076923,0.0,0.0,4.0,20.0
100.0,2.0,2.0,0.0,0.0,12.0,0.0,0.0,25.806451612903224,0.0,0.0,5.0,9.0
120.0,2.0,2.0,0.0,0.0,10.0,0.0,0.0,26.923076923076923,0.0,0.0,5.0,20.0
100.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,25.806451612903224,0.0,0.0,6.0,9.0
120.0,2.0,2.0,0.0,0.0,11.0,0.0,0.0,26.923076923076923,0.0,0.0,6.0,20.0
100.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,25.806451612903224,0.0,0.0,7.0,9.0
120.0,2.0,2.0,0.0,0.0,13.0,0.0,0.0,26.923076923076923,0.0,0.0,7.0,20.0
100.0,2.0,1.0,0.0,1.0,17.0,2621.0,0.0,25.806451612903224,1.0,1.0,8.0,9.0
120.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,26.923076923076923,0.0,1.0,8.0,20.0
100.0,3.0,2.0,0.0,1.0,18.0,2621.0,0.0,25.806451612903224,1.0,1.0,9.0,9.0
120.0,2.0,2.0,0.0,0.0,15.0,0.0,0.0,26.923076923076923,0.0,1.0,9.0,20.0
100.0,3.0,2.0,0.0,1.0,20.0,2621.0,1.0,25.806451612903224,1.0,0.0,10.0,9.0
120.0,2.0,2.0,0.0,0.0,17.0,0.0,1.0,26.923076923076923,0.0,0.0,10.0,20.0
100.0,3.0,2.0,0.0,1.0,22.0,2621.0,1.0,25.806451612903224,1.0,0.0,11.0,9.0
120.0,2.0,2.0,0.0,0.0,19.0,0.0,1.0,26.923076923076923,0.0,0.0,11.0,20.0
100.0,4.0,2.0,0.0,2.0,24.0,3250.0,1.0,25.806451612903224,2.0,0.0,12.0,9.0
120.0,3.0,1.0,0.0,2.0,22.0,3731.0,1.0,26.923076923076923,1.6666666666666667,0.0,12.0,20.0
100.0,4.0,2.0,0.0,2.0,26.0,3250.0,0.0,25.806451612903224,2.0,0.0,13.0,9.0
120.0,3.0,0.0,0.0,3.0,23.0,4169.0,0.0,26.923076923076923,2.5,0.0,13.0,20.0
100.0,4.0,2.0,0.0,2.0,28.0,3250.0,0.0,25.806451612903224,2.0,0.0,14.0,9.0
120.0,4.0,1.0,0.0,3.0,24.0,4169.0,0.0,26.923076923076923,2.5,0.0,14.0,20.0
100.0,4.0,2.0,0.0,2.0,29.0,3250.0,0.0,25.806451612903224,2.0,1.0,15.0,9.0
120.0,5.0,2.0,0.0,3.0,25.0,4169.0,0.0,26.923076923076923,2.5,1.0,15.0,20.0
100.0,5.0,2.0,0.0,3.0,31.0,4658.0,0.0,25.806451612903224,3.0,1.0,16.0,9.0
120.0,5.0,2.0,0.0,3.0,25.0,4169.0,0.0,26.923076923076923,2.5,1.0,16.0,20.0
100.0,5.0,2.0,0.0,3.0,33.0,4658.0,0.0,25.806451612903224,3.0,0.0,17.0,9.0
120.0,5.0,2.0,0.0,3.0,26.0,4169.0,0.0,26.923076923076923,2.5,0.0,17.0,20.0
100.0,6.0,2.0,0.0,4.0,36.0,4895.0,0.0,25.806451612903224,4.0,0.0,18.0,9.0
120.0,5.0,1.0,0.0,4.0,28.0,4489.0,0.0,26.923076923076923,3.3333333333333335,0.0,18.0,20.0
100.0,6.0,2.0,1.0,4.0,38.0,4895.0,0.0,25.806451612903224,4.0,0.0,19.0,9.0
120.0,6.0,2.0,0.0,4.0,30.0,4489.0,0.0,26.923076923076923,3.3333333333333335,0.0,19.0,20.0
100.0,7.0,1.0,0.0,6.0,41.0,6250.0,1.0,25.806451612903224,6.0,0.0,20.0,9.0
120.0,6.0,2.0,0.0,4.0,32.0,4489.0,1.0,26.923076923076923,3.3333333333333335,0.0,20.0,20.0
100.0,8.0,2.0,0.0,6.0,43.0,6250.0,1.0,25.806451612903224,6.0,0.0,21.0,9.0
120.0,6.0,2.0,0.0,4.0,34.0,4489.0,1.0,26.923076923076923,3.3333333333333335,0.0,21.0,20.0
100.0,8.0,2.0,0.0,6.0,44.0,6250.0,0.0,25.806451612903224,6.0,1.0,22.0,9.0
120.0,6.0,2.0,0.0,4.0,35.0,4489.0,0.0,26.923076923076923,3.3333333333333335,1.0,22.0,20.0
100.0,8.0,2.0,0.0,6.0,46.0,6250.0,0.0,25.806451612903224,6.0,1.0,23.0,9.0
120.0,6.0,2.0,0.0,4.0,35.0,4489.0,0.0,26.923076923076923,3.3333333333333335,1.0,23.0,20.0
100.0,8.0,2.0,0.0,6.0,48.0,6250.0,0.0,25.806451612903224,6.0,0.0,24.0,9.0
120.0,6.0,2.0,1.0,4.0,37.0,4489.0,0.0,26.923076923076923,3.3333333333333335,0.0,24.0,20.0
100.0,8.0,1.0,0.0,7.0,49.0,7163.0,0.0,25.806451612903224,7.000000000000001,0.0,25.0,9.0
