ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate,WeatherAssessment,TaskLength
1,late,2018-10-05,2018-10-23,,1920.0,Critical,0,1,,,Not Started,13,1,5,2024-03-31,4.761904761904762,0
2,whole,2018-10-24,2018-11-02,1,504.0,Normal,0,1,,,Not Started,8,1,4,2024-03-31,17.391304347826086,1
3,west,2018-11-03,2018-11-09,2,681.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,14.285714285714285,2
4,sometimes,2018-11-10,2018-11-13,3,378.0,Normal,0,1,,,Not Started,3,1,2,2024-03-31,14.285714285714285,3
5,serve,2018-11-15,2018-11-20,4,404.0,Normal,0,1,,,Not Started,4,1,1,2024-03-31,18.181818181818183,4
6,fly,2018-11-20,2018-11-21,5,288.0,Normal,0,1,,,Not Started,2,1,1,2024-03-31,17.391304347826086,5
7,also,2018-11-21,2018-11-28,6,540.0,Normal,0,1,,,Not Started,6,1,4,2024-03-31,17.391304347826086,6
8,prepare,2018-11-29,2018-12-05,7,459.0,Normal,0,1,,,Not Started,5,1,3,2024-03-31,18.181818181818183,7
9,physical,2018-12-06,2018-12-17,8,422.0,Normal,0,1,,,Not Started,8,1,3,2024-03-31,27.27272727272727,8
10,keep,2018-12-17,2018-12-21,9,590.0,Normal,0,1,,,Not Started,5,1,2,2024-03-31,34.78260869565217,9
11,best,2018-12-22,2019-01-01,10,757.0,Normal,0,1,,,Not Started,8,1,2,2024-03-31,47.61904761904761,10
12,leader,2019-01-01,2019-01-02,11,633.0,Normal,0,1,,,Not Started,2,1,4,2024-03-31,47.82608695652174,11
13,maintain,2019-01-02,2019-01-07,12,454.0,Normal,0,1,,,Not Started,4,1,2,2024-03-31,47.82608695652174,12
14,type,2019-01-07,2019-01-11,13,267.0,Normal,0,1,,,Not Started,5,1,3,2024-03-31,47.82608695652174,13
15,interest,2019-01-13,2019-01-22,14,831.0,Normal,0,1,,,Not Started,8,1,3,2024-03-31,50.0,14
16,amount,2019-01-22,2019-01-28,15,763.0,Normal,0,1,,,Not Started,5,1,2,2024-03-31,26.08695652173913,15
17,benefit,2019-01-29,2019-02-07,16,985.0,Normal,0,1,,,Not Started,8,1,4,2024-03-31,17.391304347826086,16
18,material,2019-02-08,2019-02-18,17,463.0,Normal,0,1,,,Not Started,7,1,2,2024-03-31,9.523809523809524,17
19,safe,2019-02-19,2019-02-22,18,464.0,Normal,0,1,,,Not Started,4,1,3,2024-03-31,4.3478260869565215,18
20,machine,2019-02-23,2019-03-01,19,922.0,Normal,0,1,,,Not Started,6,1,3,2024-03-31,4.761904761904762,19
