Cost,Priority,Progress,Duration,Worker,TaskLength,IsBadWeather,WeatherAssessment,StartDelay,DayCount,TaskDelay,Is_Delayed
1331.0,1,5.263157894736842,19,4,0,0.0,0.0,0,0,5,0
2008.0,1,11.11111111111111,9,7,0,0.0,12.5,0,0,0,0
1331.0,1,5.263157894736842,19,4,0,0.0,0.0,0,1,5,0
2008.0,1,22.22222222222222,9,7,0,0.0,12.5,0,1,0,0
1331.0,1,10.526315789473683,19,4,0,0.0,0.0,0,2,5,0
2008.0,1,33.33333333333333,9,7,0,0.0,12.5,0,2,0,0
1331.0,1,15.789473684210526,19,4,0,0.0,0.0,0,3,5,0
2008.0,1,44.44444444444444,9,7,0,0.0,12.5,0,3,0,0
2866.0,1,0.0,9,6,0,0.0,50.0,0,0,2,0
1331.0,1,15.789473684210526,19,4,0,1.0,0.0,0,4,5,0
2641.0,1,0.0,11,5,0,1.0,50.0,0,0,2,0
2008.0,1,55.55555555555556,9,7,0,1.0,12.5,0,4,0,0
2866.0,1,11.11111111111111,9,6,0,1.0,50.0,0,1,2,0
1331.0,1,21.052631578947366,19,4,0,0.0,0.0,0,5,5,0
2641.0,1,0.0,11,5,0,0.0,50.0,0,1,2,0
2008.0,1,66.66666666666666,9,7,0,0.0,12.5,0,5,0,0
2866.0,1,22.22222222222222,9,6,0,0.0,50.0,0,2,2,0
1331.0,1,26.31578947368421,19,4,0,0.0,0.0,0,6,5,0
2641.0,1,9.090909090909092,11,5,0,0.0,50.0,0,2,2,0
2008.0,1,77.77777777777779,9,7,0,0.0,12.5,0,6,0,0
2866.0,1,33.33333333333333,9,6,0,0.0,50.0,0,3,2,0
1331.0,1,31.57894736842105,19,4,0,0.0,0.0,0,7,5,0
2641.0,1,18.181818181818183,11,5,0,0.0,50.0,0,3,2,0
2961.0,1,5.88235294117647,17,6,0,0.0,85.71428571428571,0,0,3,0
2008.0,1,88.88888888888889,9,7,0,0.0,12.5,0,7,0,0
2866.0,1,44.44444444444444,9,6,0,0.0,50.0,0,4,2,0
1331.0,1,36.84210526315789,19,4,0,1.0,0.0,0,8,5,0
2641.0,1,27.27272727272727,11,5,0,1.0,50.0,0,4,2,0
2961.0,1,11.76470588235294,17,6,0,1.0,85.71428571428571,0,1,3,0
2008.0,1,100.0,9,7,0,1.0,12.5,0,8,0,0
2866.0,1,55.55555555555556,9,6,0,1.0,50.0,0,5,2,0
1331.0,1,42.10526315789473,19,4,0,1.0,0.0,0,9,5,0
2641.0,1,36.36363636363637,11,5,0,1.0,50.0,0,5,2,0
2961.0,1,17.647058823529413,17,6,0,1.0,85.71428571428571,0,2,3,0
2866.0,1,55.55555555555556,9,6,0,1.0,50.0,0,6,2,0
1331.0,1,47.368421052631575,19,4,0,1.0,0.0,0,10,5,0
2641.0,1,45.45454545454545,11,5,0,1.0,50.0,0,6,2,0
2961.0,1,23.52941176470588,17,6,0,1.0,85.71428571428571,0,3,3,0
750.0,0,20.0,5,4,1,1.0,100.0,0,0,0,0
2866.0,1,66.66666666666666,9,6,0,1.0,50.0,0,7,2,0
1331.0,1,47.368421052631575,19,4,0,1.0,0.0,0,11,5,0
2641.0,1,45.45454545454545,11,5,0,1.0,50.0,0,7,2,0
2961.0,1,23.52941176470588,17,6,0,1.0,85.71428571428571,0,4,3,0
750.0,0,40.0,5,4,1,1.0,100.0,0,1,0,0
2866.0,1,77.77777777777779,9,6,0,1.0,50.0,0,8,2,0
1331.0,1,52.63157894736842,19,4,0,1.0,0.0,0,12,5,0
2641.0,1,54.54545454545454,11,5,0,1.0,50.0,0,8,2,0
2961.0,1,29.411764705882355,17,6,0,1.0,85.71428571428571,0,5,3,0
750.0,0,60.0,5,4,1,1.0,100.0,0,2,0,0
2866.0,1,88.88888888888889,9,6,0,1.0,50.0,0,9,2,1
1331.0,1,57.89473684210527,19,4,0,1.0,0.0,0,13,5,0
2641.0,1,63.63636363636363,11,5,0,1.0,50.0,0,9,2,0
2961.0,1,35.294117647058826,17,6,0,1.0,85.71428571428571,0,6,3,0
750.0,0,80.0,5,4,1,1.0,100.0,0,3,0,0
2866.0,1,100.0,9,6,0,1.0,50.0,0,10,2,0
698.0,0,0.0,3,3,1,1.0,87.5,0,0,4,0
1331.0,1,63.1578947368421,19,4,0,1.0,0.0,0,14,5,0
2641.0,1,72.72727272727273,11,5,0,1.0,50.0,0,10,2,0
2961.0,1,41.17647058823529,17,6,0,1.0,85.71428571428571,0,7,3,0
750.0,0,100.0,5,4,1,1.0,100.0,0,4,0,0
698.0,0,0.0,3,3,1,1.0,87.5,0,1,4,0
1331.0,1,68.42105263157895,19,4,0,1.0,0.0,0,15,5,0
2641.0,1,81.81818181818183,11,5,0,1.0,50.0,0,11,2,0
2961.0,1,47.05882352941176,17,6,0,1.0,85.71428571428571,0,8,3,0
698.0,0,0.0,3,3,1,1.0,87.5,0,2,4,0
1331.0,1,73.68421052631578,19,4,0,1.0,0.0,0,16,5,0
2641.0,1,90.9090909090909,11,5,0,1.0,50.0,0,12,2,1
2961.0,1,47.05882352941176,17,6,0,1.0,85.71428571428571,0,9,3,0
792.0,0,12.5,8,4,2,1.0,50.0,0,0,0,0
698.0,1,33.33333333333333,3,3,1,1.0,87.5,0,3,4,1
