Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment,Progress,Weekend,DayCount,Delay
2018-01-01,8,121,1,1,0,0,1,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,0,26
2018-01-02,8,121,1,1,0,0,2,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,1,26
2018-01-03,8,121,1,1,0,0,3,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,2,26
2018-01-04,8,121,2,2,0,0,5,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,3,26
2018-01-05,8,121,2,2,0,0,6,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,4,26
2018-01-06,8,121,2,2,0,0,6,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,1,5,26
2018-01-07,8,121,2,2,0,0,6,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,1,6,26
2018-01-08,8,121,3,3,0,0,9,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,7,26
2018-01-09,8,121,3,3,0,0,12,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,8,26
2018-01-10,8,121,3,3,0,0,15,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,9,26
2018-01-11,8,121,3,3,0,0,18,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,10,26
2018-01-12,8,121,3,3,0,0,21,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,0,11,26
2018-01-13,8,121,3,3,0,0,21,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,1,12,26
2018-01-14,8,121,3,3,0,0,21,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.0,1,13,26
2018-01-15,8,121,3,2,0,1,24,1795.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,0.8264462809917356,0,14,26
2018-01-16,8,121,5,3,0,2,28,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,1.6528925619834711,0,15,26
2018-01-17,8,121,5,3,0,2,30,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,1.6528925619834711,0,16,26
2018-01-18,8,121,5,3,0,2,31,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,1.6528925619834711,0,17,26
2018-01-19,8,121,5,3,1,2,34,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-18,16.666666666666664,1.6528925619834711,0,18,26
