Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment
2018-01-01,8,121,1,1,0,0,0,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-02,8,121,1,1,0,0,1,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-03,8,121,1,1,0,0,2,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-04,8,121,2,2,0,0,3,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-05,8,121,2,2,0,0,5,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-06,8,121,2,2,0,0,5,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-07,8,121,2,2,0,0,5,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-08,8,121,3,3,0,0,7,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-09,8,121,3,3,0,0,10,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-10,8,121,3,3,0,0,13,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-11,8,121,3,3,0,0,16,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-12,8,121,3,3,0,0,19,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-13,8,121,3,3,0,0,19,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-14,8,121,3,3,0,0,19,0.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-15,8,121,3,3,0,0,22,0.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-16,8,121,5,3,0,2,27,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-17,8,121,5,3,0,2,30,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-18,8,121,5,3,0,2,31,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-19,8,121,5,3,1,2,32,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-20,8,121,5,3,1,2,32,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-21,8,121,5,3,1,2,32,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-22,8,121,5,3,1,2,35,3848.0,0.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-23,8,121,6,3,1,3,37,6110.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-24,8,121,6,3,1,3,39,6110.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-25,8,121,7,3,1,4,42,6374.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-26,8,121,8,3,1,5,46,6716.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-27,8,121,8,3,1,5,46,6716.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
2018-01-28,8,121,8,3,1,5,46,6716.0,1.0,2018-01-01,2018-11-22,2018-01-01,2018-12-17,16.666666666666664
