TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,IsBadWeather,WeatherAssessment,Progress,Weekend,DayCount,Delay
121.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16.666666666666664,0.0,0.0,0.0,25.0
121.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,16.666666666666664,0.0,0.0,1.0,25.0
121.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,16.666666666666664,0.0,0.0,2.0,25.0
121.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,16.666666666666664,0.0,0.0,3.0,25.0
121.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,16.666666666666664,0.0,0.0,4.0,25.0
121.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,16.666666666666664,0.0,1.0,5.0,25.0
121.0,2.0,2.0,0.0,0.0,5.0,0.0,1.0,16.666666666666664,0.0,1.0,6.0,25.0
121.0,3.0,3.0,0.0,0.0,7.0,0.0,1.0,16.666666666666664,0.0,0.0,7.0,25.0
121.0,3.0,3.0,0.0,0.0,10.0,0.0,1.0,16.666666666666664,0.0,0.0,8.0,25.0
121.0,3.0,3.0,0.0,0.0,13.0,0.0,0.0,16.666666666666664,0.0,0.0,9.0,25.0
121.0,3.0,3.0,0.0,0.0,16.0,0.0,0.0,16.666666666666664,0.0,0.0,10.0,25.0
121.0,3.0,3.0,0.0,0.0,19.0,0.0,1.0,16.666666666666664,0.0,0.0,11.0,25.0
121.0,3.0,3.0,0.0,0.0,19.0,0.0,1.0,16.666666666666664,0.0,1.0,12.0,25.0
121.0,3.0,3.0,0.0,0.0,19.0,0.0,1.0,16.666666666666664,0.0,1.0,13.0,25.0
121.0,3.0,3.0,0.0,0.0,22.0,0.0,0.0,16.666666666666664,0.0,0.0,14.0,25.0
121.0,5.0,3.0,0.0,2.0,27.0,3848.0,0.0,16.666666666666664,1.6528925619834711,0.0,15.0,25.0
121.0,5.0,3.0,0.0,2.0,30.0,3848.0,0.0,16.666666666666664,1.6528925619834711,0.0,16.0,25.0
121.0,5.0,3.0,0.0,2.0,31.0,3848.0,0.0,16.666666666666664,1.6528925619834711,0.0,17.0,25.0
121.0,5.0,3.0,1.0,2.0,32.0,3848.0,0.0,16.666666666666664,1.6528925619834711,0.0,18.0,25.0
121.0,5.0,3.0,1.0,2.0,32.0,3848.0,0.0,16.666666666666664,1.6528925619834711,1.0,19.0,25.0
121.0,5.0,3.0,1.0,2.0,32.0,3848.0,0.0,16.666666666666664,1.6528925619834711,1.0,20.0,25.0
121.0,5.0,3.0,1.0,2.0,35.0,3848.0,0.0,16.666666666666664,1.6528925619834711,0.0,21.0,25.0
121.0,6.0,3.0,1.0,3.0,37.0,6110.0,1.0,16.666666666666664,2.479338842975207,0.0,22.0,25.0
121.0,6.0,3.0,1.0,3.0,39.0,6110.0,1.0,16.666666666666664,2.479338842975207,0.0,23.0,25.0
121.0,7.0,3.0,1.0,4.0,42.0,6374.0,1.0,16.666666666666664,3.3057851239669422,0.0,24.0,25.0
121.0,8.0,3.0,1.0,5.0,46.0,6716.0,1.0,16.666666666666664,4.132231404958678,0.0,25.0,25.0
121.0,8.0,3.0,1.0,5.0,46.0,6716.0,1.0,16.666666666666664,4.132231404958678,1.0,26.0,25.0
121.0,8.0,3.0,1.0,5.0,46.0,6716.0,1.0,16.666666666666664,4.132231404958678,1.0,27.0,25.0
121.0,8.0,3.0,1.0,5.0,48.0,6716.0,1.0,16.666666666666664,4.132231404958678,0.0,28.0,25.0
117.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,37.5,0.0,0.0,0.0,32.0
121.0,8.0,3.0,1.0,5.0,51.0,6716.0,1.0,16.666666666666664,4.132231404958678,0.0,29.0,25.0
117.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,37.5,0.0,0.0,1.0,32.0
121.0,9.0,3.0,0.0,6.0,55.0,7165.0,1.0,16.666666666666664,4.958677685950414,0.0,30.0,25.0
117.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,37.5,0.0,0.0,2.0,32.0
121.0,9.0,3.0,2.0,6.0,58.0,7165.0,0.0,16.666666666666664,4.958677685950414,0.0,31.0,25.0
117.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,37.5,0.0,0.0,3.0,32.0
121.0,9.0,3.0,2.0,6.0,61.0,7165.0,0.0,16.666666666666664,4.958677685950414,0.0,32.0,25.0
117.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,37.5,0.0,0.0,4.0,32.0
121.0,9.0,3.0,2.0,6.0,61.0,7165.0,0.0,16.666666666666664,4.958677685950414,1.0,33.0,25.0
117.0,2.0,2.0,0.0,0.0,5.0,0.0,0.0,37.5,0.0,1.0,5.0,32.0
121.0,9.0,3.0,2.0,6.0,61.0,7165.0,0.0,16.666666666666664,4.958677685950414,1.0,34.0,25.0
117.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,37.5,0.0,1.0,6.0,32.0
121.0,9.0,2.0,2.0,7.0,63.0,7628.0,0.0,16.666666666666664,5.785123966942149,0.0,35.0,25.0
117.0,2.0,2.0,0.0,0.0,8.0,0.0,0.0,37.5,0.0,0.0,7.0,32.0
121.0,11.0,2.0,1.0,9.0,67.0,8915.0,0.0,16.666666666666664,7.43801652892562,0.0,36.0,25.0
