ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate
1,candidate,2019-11-04,2019-11-21,,2671.0,Critical,0,1,,,Not Started,18,1,5,2024-05-12
2,live,2019-11-22,2019-11-28,1.0,385.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
3,happy,2019-11-28,2019-12-05,2.0,904.0,Normal,0,1,,,Not Started,8,1,4,2024-05-12
4,themselves,2019-12-05,2019-12-09,3.0,802.0,Normal,0,1,,,Not Started,5,1,4,2024-05-12
5,policy,2019-12-10,2019-12-17,4.0,662.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
6,natural,2019-12-18,2019-12-21,5.0,649.0,Normal,0,1,,,Not Started,4,1,2,2024-05-12
7,decide,2019-12-23,2019-12-28,6.0,822.0,Normal,0,1,,,Not Started,6,1,4,2024-05-12
8,it,2019-12-30,2020-01-04,7.0,344.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
9,parent,2020-01-04,2020-01-06,8.0,762.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
10,school,2020-01-06,2020-01-10,9.0,801.0,Normal,0,1,,,Not Started,5,1,4,2024-05-12
11,around,2020-01-12,2020-01-17,10.0,284.0,Normal,0,1,,,Not Started,6,1,1,2024-05-12
12,during,2020-01-19,2020-01-25,11.0,927.0,Normal,0,1,,,Not Started,7,1,1,2024-05-12
13,development,2020-01-26,2020-01-28,12.0,385.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
14,TV,2020-01-29,2020-02-05,13.0,817.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
15,until,2020-02-06,2020-02-11,14.0,877.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
16,American,2020-02-12,2020-02-17,15.0,943.0,Normal,0,1,,,Not Started,6,1,4,2024-05-12
17,civil,2020-02-17,2020-02-19,16.0,387.0,Normal,0,1,,,Not Started,3,1,4,2024-05-12
18,recent,2020-02-21,2020-02-22,17.0,868.0,Normal,0,1,,,Not Started,2,1,4,2024-05-12
19,seven,2020-02-24,2020-02-26,18.0,443.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
20,receive,2020-02-27,2020-02-28,19.0,531.0,Normal,0,1,,,Not Started,2,1,2,2024-05-12
21,follow,2020-02-29,2020-03-06,20.0,240.0,Normal,0,1,,,Not Started,7,1,3,2024-05-12
22,training,2020-03-06,2020-03-10,21.0,282.0,Normal,0,1,,,Not Started,5,1,3,2024-05-12
23,television,2020-03-10,2020-03-13,22.0,830.0,Normal,0,1,,,Not Started,4,1,2,2024-05-12
24,before,2020-03-13,2020-03-14,23.0,967.0,Normal,0,1,,,Not Started,2,1,1,2024-05-12
25,tend,2020-03-16,2020-03-23,24.0,687.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
26,none,2020-03-23,2020-03-24,25.0,644.0,Normal,0,1,,,Not Started,2,1,1,2024-05-12
27,police,2020-03-26,2020-03-31,26.0,227.0,Normal,0,1,,,Not Started,6,1,3,2024-05-12
28,fear,2020-04-01,2020-04-03,27.0,841.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
29,read,2020-04-05,2020-04-07,28.0,716.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
30,reveal,2020-04-08,2020-04-09,29.0,259.0,Normal,0,1,,,Not Started,2,1,3,2024-05-12
31,individual,2020-04-11,2020-04-17,30.0,764.0,Normal,0,1,,,Not Started,7,1,4,2024-05-12
32,history,2020-04-17,2020-04-19,31.0,534.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
33,significant,2020-04-20,2020-04-27,32.0,292.0,Normal,0,1,,,Not Started,8,1,2,2024-05-12
34,open,2020-04-28,2020-04-30,33.0,897.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
35,student,2020-04-30,2020-05-03,34.0,345.0,Normal,0,1,,,Not Started,4,1,3,2024-05-12
36,perform,2020-05-05,2020-05-08,35.0,907.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
37,either,2020-05-10,2020-05-16,36.0,801.0,Normal,0,1,,,Not Started,7,1,1,2024-05-12
38,trade,2020-05-17,2020-05-18,37.0,946.0,Normal,0,1,,,Not Started,2,1,1,2024-05-12
39,like,2020-05-20,2020-05-26,38.0,449.0,Normal,0,1,,,Not Started,7,1,1,2024-05-12
40,recognize,2020-05-26,2020-05-29,39.0,453.0,Normal,0,1,,,Not Started,4,1,1,2024-05-12
41,sort,2020-05-29,2020-05-30,40.0,934.0,Normal,0,1,,,Not Started,2,1,4,2024-05-12
42,form,2020-06-01,2020-06-08,41.0,443.0,Normal,0,1,,,Not Started,8,1,2,2024-05-12
43,church,2020-06-09,2020-06-15,42.0,926.0,Normal,0,1,,,Not Started,7,1,3,2024-05-12
44,their,2020-06-15,2020-06-17,43.0,250.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
45,head,2020-06-17,2020-06-18,44.0,527.0,Normal,0,1,,,Not Started,2,1,1,2024-05-12
46,skin,2020-06-18,2020-06-25,45.0,282.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
47,material,2020-06-27,2020-07-01,46.0,496.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
48,middle,2020-07-03,2020-07-07,47.0,220.0,Normal,0,1,,,Not Started,5,1,4,2024-05-12
49,song,2020-07-07,2020-07-13,48.0,405.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
50,include,2020-07-15,2020-07-21,49.0,811.0,Normal,0,1,,,Not Started,7,1,1,2024-05-12
51,writer,2019-11-08,2019-11-21,,2232.0,Critical,0,1,,,Not Started,14,1,7,2024-05-12
52,fill,2019-11-21,2019-11-23,51.0,802.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
53,report,2019-11-24,2019-11-26,52.0,635.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
54,air,2019-11-26,2019-11-29,53.0,910.0,Normal,0,1,,,Not Started,4,1,1,2024-05-12
55,difficult,2019-11-30,2019-12-03,54.0,652.0,Normal,0,1,,,Not Started,4,1,2,2024-05-12
56,drop,2019-12-03,2019-12-10,55.0,849.0,Normal,0,1,,,Not Started,8,1,4,2024-05-12
57,phone,2019-12-10,2019-12-16,56.0,550.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
58,set,2019-12-16,2019-12-20,57.0,892.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
59,agree,2019-12-20,2019-12-25,58.0,426.0,Normal,0,1,,,Not Started,6,1,1,2024-05-12
60,market,2019-12-26,2019-12-29,59.0,846.0,Normal,0,1,,,Not Started,4,1,3,2024-05-12
61,avoid,2019-12-30,2020-01-03,60.0,633.0,Normal,0,1,,,Not Started,5,1,3,2024-05-12
62,sell,2020-01-05,2020-01-10,61.0,318.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
63,north,2020-01-12,2020-01-15,62.0,485.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
64,mother,2020-01-15,2020-01-17,63.0,926.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
65,central,2020-01-17,2020-01-19,64.0,357.0,Normal,0,1,,,Not Started,3,1,4,2024-05-12
66,hair,2020-01-20,2020-01-21,65.0,493.0,Normal,0,1,,,Not Started,2,1,3,2024-05-12
67,move,2020-01-22,2020-01-24,66.0,473.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
68,morning,2020-01-26,2020-01-31,67.0,458.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
69,mother,2020-02-01,2020-02-02,68.0,498.0,Normal,0,1,,,Not Started,2,1,4,2024-05-12
70,song,2020-02-04,2020-02-08,69.0,527.0,Normal,0,1,,,Not Started,5,1,3,2024-05-12
71,bag,2020-02-08,2020-02-15,70.0,642.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
72,among,2020-02-15,2020-02-18,71.0,289.0,Normal,0,1,,,Not Started,4,1,1,2024-05-12
73,she,2020-02-19,2020-02-22,72.0,626.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
74,oil,2020-02-24,2020-02-25,73.0,657.0,Normal,0,1,,,Not Started,2,1,3,2024-05-12
75,behind,2020-02-25,2020-02-26,74.0,605.0,Normal,0,1,,,Not Started,2,1,4,2024-05-12
76,foot,2020-02-27,2020-03-01,75.0,522.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
77,beautiful,2020-03-02,2020-03-05,76.0,607.0,Normal,0,1,,,Not Started,4,1,2,2024-05-12
78,control,2020-03-06,2020-03-11,77.0,242.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
79,another,2020-03-12,2020-03-16,78.0,478.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
80,night,2020-03-16,2020-03-21,79.0,717.0,Normal,0,1,,,Not Started,6,1,3,2024-05-12
81,it,2020-03-23,2020-03-29,80.0,892.0,Normal,0,1,,,Not Started,7,1,4,2024-05-12
82,say,2020-03-30,2020-04-01,81.0,934.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
83,movement,2020-04-01,2020-04-07,82.0,906.0,Normal,0,1,,,Not Started,7,1,3,2024-05-12
84,your,2020-04-07,2020-04-13,83.0,554.0,Normal,0,1,,,Not Started,7,1,1,2024-05-12
85,heavy,2020-04-13,2020-04-15,84.0,521.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
86,somebody,2020-04-15,2020-04-19,85.0,682.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
87,soldier,2020-04-19,2020-04-24,86.0,207.0,Normal,0,1,,,Not Started,6,1,4,2024-05-12
88,price,2020-04-25,2020-04-26,87.0,390.0,Normal,0,1,,,Not Started,2,1,4,2024-05-12
89,product,2020-04-27,2020-04-29,88.0,941.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
90,suggest,2020-04-30,2020-05-04,89.0,444.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
91,born,2020-05-06,2020-05-13,90.0,446.0,Normal,0,1,,,Not Started,8,1,2,2024-05-12
92,development,2020-05-15,2020-05-22,91.0,282.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
93,support,2020-05-22,2020-05-27,92.0,707.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
94,sound,2020-05-27,2020-05-30,93.0,390.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
95,article,2020-05-30,2020-06-03,94.0,870.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
96,record,2020-06-04,2020-06-11,95.0,210.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
97,field,2020-06-11,2020-06-17,96.0,357.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
98,each,2020-06-19,2020-06-24,97.0,872.0,Normal,0,1,,,Not Started,6,1,2,2024-05-12
99,south,2020-06-24,2020-06-27,98.0,370.0,Normal,0,1,,,Not Started,4,1,2,2024-05-12
100,by,2020-06-28,2020-07-04,99.0,625.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
101,door,2019-11-09,2019-11-20,,2304.0,Critical,0,1,,,Not Started,12,1,5,2024-05-12
102,usually,2019-11-21,2019-11-25,101.0,801.0,Normal,0,1,,,Not Started,5,1,3,2024-05-12
103,throughout,2019-11-26,2019-12-02,102.0,562.0,Normal,0,1,,,Not Started,7,1,4,2024-05-12
104,hundred,2019-12-03,2019-12-05,103.0,415.0,Normal,0,1,,,Not Started,3,1,4,2024-05-12
105,sign,2019-12-05,2019-12-12,104.0,772.0,Normal,0,1,,,Not Started,8,1,2,2024-05-12
106,candidate,2019-12-13,2019-12-15,105.0,921.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
107,relationship,2019-12-15,2019-12-19,106.0,212.0,Normal,0,1,,,Not Started,5,1,2,2024-05-12
108,he,2019-12-21,2019-12-28,107.0,641.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
109,participant,2019-12-29,2020-01-04,108.0,315.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
110,crime,2020-01-04,2020-01-11,109.0,977.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
111,tend,2020-01-12,2020-01-15,110.0,218.0,Normal,0,1,,,Not Started,4,1,3,2024-05-12
112,analysis,2020-01-17,2020-01-23,111.0,370.0,Normal,0,1,,,Not Started,7,1,3,2024-05-12
113,in,2020-01-24,2020-01-28,112.0,248.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
114,learn,2020-01-30,2020-02-02,113.0,523.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
115,gas,2020-02-02,2020-02-05,114.0,301.0,Normal,0,1,,,Not Started,4,1,4,2024-05-12
116,tough,2020-02-05,2020-02-07,115.0,860.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
117,case,2020-02-07,2020-02-08,116.0,314.0,Normal,0,1,,,Not Started,2,1,3,2024-05-12
118,plan,2020-02-10,2020-02-14,117.0,331.0,Normal,0,1,,,Not Started,5,1,1,2024-05-12
119,spend,2020-02-15,2020-02-17,118.0,206.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
120,turn,2020-02-18,2020-02-19,119.0,245.0,Normal,0,1,,,Not Started,2,1,3,2024-05-12
121,officer,2020-02-21,2020-02-28,120.0,984.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
122,it,2020-02-29,2020-03-07,121.0,843.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
123,child,2020-03-09,2020-03-11,122.0,855.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
124,discuss,2020-03-13,2020-03-15,123.0,923.0,Normal,0,1,,,Not Started,3,1,1,2024-05-12
125,notice,2020-03-16,2020-03-19,124.0,380.0,Normal,0,1,,,Not Started,4,1,3,2024-05-12
126,still,2020-03-21,2020-03-23,125.0,761.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
127,many,2020-03-23,2020-03-30,126.0,639.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
128,goal,2020-04-01,2020-04-03,127.0,341.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
129,college,2020-04-05,2020-04-06,128.0,718.0,Normal,0,1,,,Not Started,2,1,3,2024-05-12
130,group,2020-04-06,2020-04-08,129.0,574.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
131,boy,2020-04-08,2020-04-15,130.0,727.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
132,article,2020-04-16,2020-04-23,131.0,326.0,Normal,0,1,,,Not Started,8,1,1,2024-05-12
133,industry,2020-04-24,2020-05-01,132.0,243.0,Normal,0,1,,,Not Started,8,1,3,2024-05-12
134,anything,2020-05-03,2020-05-05,133.0,695.0,Normal,0,1,,,Not Started,3,1,3,2024-05-12
135,alone,2020-05-05,2020-05-11,134.0,400.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
136,early,2020-05-11,2020-05-13,135.0,995.0,Normal,0,1,,,Not Started,3,1,2,2024-05-12
137,study,2020-05-14,2020-05-21,136.0,392.0,Normal,0,1,,,Not Started,8,1,2,2024-05-12
138,it,2020-05-23,2020-05-29,137.0,247.0,Normal,0,1,,,Not Started,7,1,2,2024-05-12
139,deep,2020-09-07,2020-09-24,,1783.0,Critical,0,2,,,Not Started,14,1,6,2024-05-12
140,less,2020-09-26,2020-10-01,139.0,570.0,Normal,0,2,,,Not Started,5,1,1,2024-05-12
141,exactly,2020-10-01,2020-10-12,140.0,971.0,Normal,0,2,,,Not Started,8,1,4,2024-05-12
142,foot,2020-10-12,2020-10-13,141.0,610.0,Normal,0,2,,,Not Started,2,1,1,2024-05-12
143,stock,2020-10-13,2020-10-19,142.0,205.0,Normal,0,2,,,Not Started,5,1,2,2024-05-12
144,study,2020-10-19,2020-10-22,143.0,334.0,Normal,0,2,,,Not Started,4,1,4,2024-05-12
145,other,2020-10-24,2020-11-02,144.0,533.0,Normal,0,2,,,Not Started,7,1,1,2024-05-12
146,throw,2020-11-03,2020-11-12,145.0,985.0,Normal,0,2,,,Not Started,8,1,3,2024-05-12
147,store,2020-11-14,2020-11-20,146.0,508.0,Normal,0,2,,,Not Started,6,1,2,2024-05-12
148,firm,2020-11-20,2020-11-27,147.0,512.0,Normal,0,2,,,Not Started,6,1,4,2024-05-12
149,country,2020-11-27,2020-12-04,148.0,595.0,Normal,0,2,,,Not Started,6,1,3,2024-05-12
