Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,TaskLength,IsBadWeather,WeatherAssessment,WorkDay,ActualStartDate,ActualEndDate
2018-01-29,1156,would,2018-01-29,2018-02-13,1269.0,Critical,1,11,On Progress,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-01-29,1207,without,2018-01-29,2018-02-12,1387.0,Critical,1,11,On Progress,15,5,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-01-29,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,1,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-01-30,1156,would,2018-01-29,2018-02-13,1269.0,Critical,2,11,On Progress,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-01-30,1207,without,2018-01-29,2018-02-12,1387.0,Critical,2,11,On Progress,15,5,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-01-30,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,2,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-01-31,1156,would,2018-01-29,2018-02-13,1269.0,Critical,3,11,On Progress,16,4,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-01-31,1207,without,2018-01-29,2018-02-12,1387.0,Critical,3,11,On Progress,15,5,0,1.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-01-31,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,2,27,On Progress,15,7,0,1.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-01,1156,would,2018-01-29,2018-02-13,1269.0,Critical,4,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
2018-02-01,1207,without,2018-01-29,2018-02-12,1387.0,Critical,4,11,On Progress,15,5,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-13
2018-02-01,1291,guy,2018-02-01,2018-02-16,2899.0,Critical,0,11,On Progress,16,4,0,0.0,0.0,127,2018-02-01 00:00:00,2018-02-19
2018-02-01,2996,physical,2018-01-29,2018-02-16,2777.0,Critical,3,27,On Progress,15,7,0,0.0,50.0,31,2018-01-29 00:00:00,2018-02-20
2018-02-01,3048,share,2018-02-01,2018-02-21,1279.0,Critical,1,27,On Progress,15,6,0,0.0,0.0,31,2018-02-01 00:00:00,2018-02-23
2018-02-02,1156,would,2018-01-29,2018-02-13,1269.0,Critical,5,11,On Progress,16,4,0,0.0,37.5,127,2018-01-29 00:00:00,2018-02-15
