Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment,Progress,Weekend,DayCount,Delay
2019-01-29,27,119,1,1,0,0,1,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,0,372
2019-01-30,27,119,1,1,0,0,2,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,1,372
2019-01-31,27,119,1,1,0,0,3,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,2,372
2019-02-01,27,119,1,1,0,0,4,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,3,372
2019-02-02,27,119,1,1,0,0,4,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,1,4,372
2019-02-03,27,119,2,2,0,0,6,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,1,5,372
2019-02-04,27,119,2,2,0,0,7,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,6,372
2019-02-05,27,119,2,2,0,0,8,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,7,372
2019-02-06,27,119,2,2,0,0,10,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,8,372
2019-02-07,27,119,2,2,0,0,12,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,9,372
2019-02-08,27,119,2,2,0,0,13,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,10,372
2019-02-09,27,119,2,2,0,0,14,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,1,11,372
2019-02-10,27,119,2,2,0,0,16,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,1,12,372
2019-02-11,27,119,2,2,0,0,18,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,13,372
2019-02-12,27,119,2,2,1,0,20,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.0,0,14,372
2019-02-13,27,119,2,1,1,1,22,1478.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,0.8403361344537815,0,15,372
2019-02-14,27,119,4,2,0,2,25,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,1.680672268907563,0,16,372
2019-02-15,27,119,4,2,0,2,27,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,1.680672268907563,0,17,372
2019-02-16,27,119,4,2,0,2,28,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,1.680672268907563,1,18,372
2019-02-17,27,119,4,2,0,2,29,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0,1.680672268907563,1,19,372
