Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate,WeatherAssessment
2019-01-29,27,119,1,1,0,0,1,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-01-30,27,119,1,1,0,0,2,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-01-31,27,119,1,1,0,0,3,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-01,27,119,1,1,0,0,4,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-02,27,119,1,1,0,0,4,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-03,27,119,2,2,0,0,6,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-04,27,119,2,2,0,0,7,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-05,27,119,2,2,0,0,8,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-06,27,119,2,2,0,0,10,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-07,27,119,2,2,0,0,12,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-08,27,119,2,2,0,0,13,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-09,27,119,2,2,0,0,14,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-10,27,119,2,2,0,0,16,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-11,27,119,2,2,0,0,18,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-12,27,119,2,2,1,0,20,0.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-13,27,119,2,1,1,1,22,1478.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-14,27,119,4,2,0,2,25,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-15,27,119,4,2,0,2,27,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-16,27,119,4,2,0,2,28,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-17,27,119,4,2,0,2,29,3405.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-18,27,119,4,1,1,3,30,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-19,27,119,4,1,1,3,31,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-20,27,119,5,2,1,3,31,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-21,27,119,5,2,1,3,32,4247.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-22,27,119,6,2,1,4,34,4770.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-23,27,119,7,2,1,5,35,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-24,27,119,7,2,1,5,36,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-25,27,119,7,2,1,5,36,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-26,27,119,7,2,1,5,36,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-27,27,119,7,2,2,5,38,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-02-28,27,119,7,2,2,5,38,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-01,27,119,7,2,2,5,40,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-02,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-03,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-04,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-05,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-06,27,119,7,2,2,5,41,5583.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-07,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-08,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-09,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-10,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-11,27,119,8,2,2,6,44,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-12,27,119,8,2,2,6,45,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-13,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-14,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-15,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-16,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-17,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-18,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-19,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
2019-03-20,27,119,8,2,2,6,46,6479.0,2019-01-29,2019-12-25,2019-01-29,2020-12-31,50.0
