TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,WeatherAssessment,Progress,Weekend,DayCount,Delay
119.0,1.0,1.0,0.0,0.0,1.0,0.0,50.0,0.0,0.0,0.0,372.0
119.0,1.0,1.0,0.0,0.0,2.0,0.0,50.0,0.0,0.0,1.0,372.0
119.0,1.0,1.0,0.0,0.0,3.0,0.0,50.0,0.0,0.0,2.0,372.0
119.0,1.0,1.0,0.0,0.0,4.0,0.0,50.0,0.0,0.0,3.0,372.0
119.0,1.0,1.0,0.0,0.0,4.0,0.0,50.0,0.0,1.0,4.0,372.0
119.0,2.0,2.0,0.0,0.0,6.0,0.0,50.0,0.0,1.0,5.0,372.0
119.0,2.0,2.0,0.0,0.0,7.0,0.0,50.0,0.0,0.0,6.0,372.0
119.0,2.0,2.0,0.0,0.0,8.0,0.0,50.0,0.0,0.0,7.0,372.0
119.0,2.0,2.0,0.0,0.0,10.0,0.0,50.0,0.0,0.0,8.0,372.0
119.0,2.0,2.0,0.0,0.0,12.0,0.0,50.0,0.0,0.0,9.0,372.0
119.0,2.0,2.0,0.0,0.0,13.0,0.0,50.0,0.0,0.0,10.0,372.0
119.0,2.0,2.0,0.0,0.0,14.0,0.0,50.0,0.0,1.0,11.0,372.0
119.0,2.0,2.0,0.0,0.0,16.0,0.0,50.0,0.0,1.0,12.0,372.0
119.0,2.0,2.0,0.0,0.0,18.0,0.0,50.0,0.0,0.0,13.0,372.0
119.0,2.0,2.0,1.0,0.0,20.0,0.0,50.0,0.0,0.0,14.0,372.0
119.0,2.0,1.0,1.0,1.0,22.0,1478.0,50.0,0.8403361344537815,0.0,15.0,372.0
119.0,4.0,2.0,0.0,2.0,25.0,3405.0,50.0,1.680672268907563,0.0,16.0,372.0
119.0,4.0,2.0,0.0,2.0,27.0,3405.0,50.0,1.680672268907563,0.0,17.0,372.0
119.0,4.0,2.0,0.0,2.0,28.0,3405.0,50.0,1.680672268907563,1.0,18.0,372.0
119.0,4.0,2.0,0.0,2.0,29.0,3405.0,50.0,1.680672268907563,1.0,19.0,372.0
119.0,4.0,1.0,1.0,3.0,30.0,4247.0,50.0,2.5210084033613445,0.0,20.0,372.0
119.0,4.0,1.0,1.0,3.0,31.0,4247.0,50.0,2.5210084033613445,0.0,21.0,372.0
119.0,5.0,2.0,1.0,3.0,31.0,4247.0,50.0,2.5210084033613445,0.0,22.0,372.0
119.0,5.0,2.0,1.0,3.0,32.0,4247.0,50.0,2.5210084033613445,0.0,23.0,372.0
119.0,6.0,2.0,1.0,4.0,34.0,4770.0,50.0,3.361344537815126,0.0,24.0,372.0
119.0,7.0,2.0,1.0,5.0,35.0,5583.0,50.0,4.201680672268908,1.0,25.0,372.0
119.0,7.0,2.0,1.0,5.0,36.0,5583.0,50.0,4.201680672268908,1.0,26.0,372.0
119.0,7.0,2.0,1.0,5.0,36.0,5583.0,50.0,4.201680672268908,0.0,27.0,372.0
119.0,7.0,2.0,1.0,5.0,36.0,5583.0,50.0,4.201680672268908,0.0,28.0,372.0
119.0,7.0,2.0,2.0,5.0,38.0,5583.0,50.0,4.201680672268908,0.0,29.0,372.0
119.0,7.0,2.0,2.0,5.0,38.0,5583.0,50.0,4.201680672268908,0.0,30.0,372.0
119.0,7.0,2.0,2.0,5.0,40.0,5583.0,50.0,4.201680672268908,0.0,31.0,372.0
119.0,7.0,2.0,2.0,5.0,41.0,5583.0,50.0,4.201680672268908,1.0,32.0,372.0
119.0,7.0,2.0,2.0,5.0,41.0,5583.0,50.0,4.201680672268908,1.0,33.0,372.0
119.0,7.0,2.0,2.0,5.0,41.0,5583.0,50.0,4.201680672268908,0.0,34.0,372.0
119.0,7.0,2.0,2.0,5.0,41.0,5583.0,50.0,4.201680672268908,0.0,35.0,372.0
119.0,7.0,2.0,2.0,5.0,41.0,5583.0,50.0,4.201680672268908,0.0,36.0,372.0
119.0,8.0,2.0,2.0,6.0,44.0,6479.0,50.0,5.042016806722689,0.0,37.0,372.0
119.0,8.0,2.0,2.0,6.0,44.0,6479.0,50.0,5.042016806722689,0.0,38.0,372.0
119.0,8.0,2.0,2.0,6.0,44.0,6479.0,50.0,5.042016806722689,1.0,39.0,372.0
119.0,8.0,2.0,2.0,6.0,44.0,6479.0,50.0,5.042016806722689,1.0,40.0,372.0
119.0,8.0,2.0,2.0,6.0,44.0,6479.0,50.0,5.042016806722689,0.0,41.0,372.0
119.0,8.0,2.0,2.0,6.0,45.0,6479.0,50.0,5.042016806722689,0.0,42.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,43.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,44.0,372.0
119.0,8.0,2.0,2.0,6.0,46.0,6479.0,50.0,5.042016806722689,0.0,45.0,372.0
