ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate,WorkerScore
1,successful,2020-03-24,2020-04-02,,1736.00,Critical,0,1,,,Not Started,9,1,26,2024-07-09,59
2,represent,2020-04-02,2020-04-07,1.0,481.00,Normal,0,1,,,Not Started,5,1,19,2024-07-09,91
3,network,2020-04-07,2020-04-12,2.0,454.00,Normal,0,1,,,Not Started,5,1,19,2024-07-09,31
4,run,2020-04-11,2020-04-15,3.0,716.00,Normal,0,1,,,Not Started,4,1,12,2024-07-09,79
5,speech,2020-04-17,2020-04-21,4.0,589.00,Normal,0,1,,,Not Started,4,1,3,2024-07-09,96
6,start,2020-04-21,2020-04-23,5.0,997.00,Normal,0,1,,,Not Started,2,1,5,2024-07-09,31
7,national,2020-04-24,2020-05-02,6.0,968.00,Normal,0,1,,,Not Started,8,1,22,2024-07-09,76
8,Mrs,2020-05-04,2020-05-06,7.0,615.00,Normal,0,1,,,Not Started,2,1,19,2024-07-09,30
9,technology,2020-05-06,2020-05-10,8.0,458.00,Normal,0,1,,,Not Started,4,1,12,2024-07-09,50
10,friend,2020-05-11,2020-05-17,9.0,878.00,Normal,0,1,,,Not Started,6,1,17,2024-07-09,75
11,sound,2020-05-18,2020-05-25,10.0,828.00,Normal,0,1,,,Not Started,7,1,14,2024-07-09,78
12,free,2020-05-25,2020-05-29,11.0,364.00,Normal,0,1,,,Not Started,4,1,11,2024-07-09,82
13,fast,2020-05-28,2020-06-04,12.0,984.00,Normal,0,1,,,Not Started,7,1,22,2024-07-09,76
14,develop,2020-06-05,2020-06-09,13.0,481.00,Normal,0,1,,,Not Started,4,1,14,2024-07-09,90
15,one,2020-06-10,2020-06-15,14.0,468.00,Normal,0,1,,,Not Started,5,1,20,2024-07-09,90
16,purpose,2020-06-16,2020-06-24,15.0,572.00,Normal,0,1,,,Not Started,8,1,1,2024-07-09,51
17,too,2020-06-26,2020-06-28,16.0,339.00,Normal,0,1,,,Not Started,2,1,21,2024-07-09,32
18,sure,2020-06-27,2020-06-30,17.0,632.00,Normal,0,1,,,Not Started,3,1,21,2024-07-09,66
19,film,2020-07-02,2020-07-08,18.0,486.00,Normal,0,1,,,Not Started,6,1,4,2024-07-09,41
20,lose,2020-07-09,2020-07-14,19.0,676.00,Normal,0,1,,,Not Started,5,1,5,2024-07-09,86
21,drop,2020-07-16,2020-07-23,20.0,823.00,Normal,0,1,,,Not Started,7,1,12,2024-07-09,49
