Cost,Progress,Duration,Trade,TaskLength,Temperature,RainProb,WindSpeed,WorkerScore,WeatherAssessment,StartDelay,TaskDelay,Is_Delayed
1927.0,7.6923076923076925,13,28,0,26.444,0.0,22.37,32,50.0,0,4,0
1927.0,15.384615384615385,13,28,0,27.111,100.0,40.716,32,50.0,0,4,0
1927.0,23.076923076923077,13,28,0,26.778,0.0,33.474,32,50.0,0,4,0
1927.0,30.76923076923077,13,28,0,16.889,0.0,24.623,32,50.0,0,4,0
1927.0,30.76923076923077,13,28,0,21.389,0.0,15.932,32,50.0,0,4,0
1927.0,38.46153846153847,13,28,0,24.5,100.0,24.14,32,50.0,0,4,0
1478.0,10.0,10,23,0,24.5,100.0,24.14,100,75.0,0,1,0
1927.0,38.46153846153847,13,28,0,24.5,100.0,42.165,32,50.0,0,4,0
1478.0,20.0,10,23,0,24.5,100.0,42.165,100,75.0,0,1,0
1927.0,38.46153846153847,13,28,0,21.333,100.0,31.704,32,50.0,0,4,0
1478.0,30.0,10,23,0,21.333,100.0,31.704,100,75.0,0,1,0
1927.0,46.15384615384615,13,28,0,22.944,0.0,29.451,32,50.0,0,4,0
1478.0,40.0,10,23,0,22.944,0.0,29.451,100,75.0,0,1,0
1927.0,53.84615384615385,13,28,0,22.667,100.0,28.324,32,50.0,0,4,0
1478.0,50.0,10,23,0,22.667,100.0,28.324,100,75.0,0,1,0
1927.0,61.53846153846154,13,28,0,21.0,100.0,30.738,32,50.0,0,4,0
1478.0,50.0,10,23,0,21.0,100.0,30.738,100,75.0,0,1,0
1927.0,61.53846153846154,13,28,0,18.611,100.0,44.579,32,50.0,0,4,0
1478.0,60.0,10,23,0,18.611,100.0,44.579,100,75.0,0,1,0
1927.0,69.23076923076923,13,28,0,15.944,0.0,22.37,32,50.0,0,4,0
1478.0,70.0,10,23,0,15.944,0.0,22.37,100,75.0,0,1,0
1927.0,76.92307692307693,13,28,0,19.056,0.0,33.474,32,50.0,0,4,0
1478.0,80.0,10,23,0,19.056,0.0,33.474,100,75.0,0,1,0
1927.0,84.61538461538461,13,28,0,21.111,0.0,48.28,32,50.0,0,4,1
1478.0,90.0,10,23,0,21.111,0.0,48.28,100,75.0,0,1,0
1927.0,92.3076923076923,13,28,0,17.167,0.0,30.417,32,50.0,0,4,1
1478.0,100.0,10,23,0,17.167,0.0,30.417,100,75.0,0,1,0
1927.0,100.0,13,28,0,16.556,0.0,20.921,32,50.0,0,4,0
523.0,20.0,5,9,1,16.556,0.0,20.921,68,25.0,2,4,0
842.0,20.0,5,4,1,16.556,0.0,20.921,79,12.5,0,0,0
523.0,40.0,5,9,1,20.722,0.0,31.704,68,25.0,2,4,0
842.0,40.0,5,4,1,20.722,0.0,31.704,79,12.5,0,0,0
523.0,40.0,5,9,1,20.167,0.0,15.772,68,25.0,2,4,0
842.0,60.0,5,4,1,20.167,0.0,15.772,79,12.5,0,0,0
523.0,40.0,5,9,1,21.556,0.0,22.048,68,25.0,2,4,0
842.0,80.0,5,4,1,21.556,0.0,22.048,79,12.5,0,0,0
523.0,40.0,5,9,1,23.222,100.0,30.738,68,25.0,2,4,1
842.0,100.0,5,4,1,23.222,100.0,30.738,79,12.5,0,0,0
523.0,60.0,5,9,1,21.889,0.0,33.474,68,25.0,2,4,1
523.0,60.0,5,9,1,19.833,0.0,31.704,68,25.0,2,4,1
554.0,0.0,6,3,2,19.833,0.0,31.704,30,12.5,0,29,0
523.0,80.0,5,9,1,19.278,0.0,30.738,68,25.0,2,4,1
554.0,0.0,6,3,2,19.278,0.0,30.738,30,12.5,0,29,0
523.0,100.0,5,9,1,18.389,0.0,27.681,68,25.0,2,4,0
813.0,50.0,2,7,2,18.389,0.0,27.681,95,12.5,6,0,1
554.0,0.0,6,3,2,18.389,0.0,27.681,30,12.5,0,29,0
813.0,100.0,2,7,2,17.278,0.0,37.015,95,12.5,6,0,0
896.0,0.0,5,4,3,17.278,0.0,37.015,75,12.5,6,8,1
554.0,0.0,6,3,2,17.278,0.0,37.015,30,12.5,0,29,0
896.0,20.0,5,4,3,17.444,0.0,28.485,75,12.5,6,8,1
554.0,0.0,6,3,2,17.444,0.0,28.485,30,12.5,0,29,0
896.0,20.0,5,4,3,18.833,0.0,19.473,75,12.5,6,8,1
554.0,0.0,6,3,2,18.833,0.0,19.473,30,12.5,0,29,0
