name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2016-01-01,93.4,60.3,76.5,88.9,60.3,75.2,47.8,44,0,0,0,,0,0,18.8,17.6,133.6,1012.9,71,6.2,308.3,25.5,10,,2016-01-01T05:51:42,2016-01-01T20:21:21,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-02,81.8,62.4,69.7,80.5,62.4,69.6,52,55,0,0,0,,0,0,25.9,16.6,129.8,1011.4,96.1,6.2,173.8,15.1,5,,2016-01-02T05:52:27,2016-01-02T20:21:32,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-03,74.9,59.4,66.5,74.9,59.4,66.5,52.6,62.7,0,0,0,,0,0,34,18.3,116.2,1014.1,85.6,6.2,236.8,20.4,8,,2016-01-03T05:53:13,2016-01-03T20:21:40,0.77,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-04,65.9,57.3,61.3,65.9,57.3,61.3,55.1,80.6,0.098,100,12.5,rain,0,0,21.7,12.8,138,1016.5,93.1,6.1,121.9,10.5,5,,2016-01-04T05:54:01,2016-01-04T20:21:47,0.81,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-05,62.3,57.2,59.3,62.3,57.2,59.3,56.3,89.9,0.485,100,12.5,rain,0,0,28.2,12.8,123.5,1015.5,91.6,5.6,90.1,7.7,3,,2016-01-05T05:54:50,2016-01-05T20:21:52,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-06,67.8,57,61.4,67.8,57,61.4,53.5,76.1,0.025,100,4.17,rain,0,0,28.6,17.2,140.8,1013.8,88.5,6.2,167.4,14.5,6,,2016-01-06T05:55:40,2016-01-06T20:21:55,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-07,76.4,51.9,63.5,76.4,51.9,63.5,47.2,59,0,0,0,,0,0,30.4,20,172.7,1015,44.3,6.2,266.9,23,7,,2016-01-07T05:56:31,2016-01-07T20:21:56,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-08,83.6,47.6,65,81.4,46.8,64.6,49.9,64.3,0,0,0,,0,0,18.8,16.1,98.5,1017.8,40.1,7.2,354.7,30.8,10,,2016-01-08T05:57:23,2016-01-08T20:21:55,0.94,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,95723099999,94927099999,remote,95716099999,94926099999"
australia,2016-01-09,87.6,56.8,72.1,84.9,56.8,71.5,54.4,59.3,0,0,0,,0,0,18.6,14.2,38.1,1018,62.8,6.2,313.1,26.9,10,,2016-01-09T05:58:16,2016-01-09T20:21:51,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
australia,2016-01-10,92.6,60.1,77.3,89.2,60.1,76.1,54,51.1,0,0,0,,0,0,17.7,15.2,337.2,1015.9,31.2,6.2,344.3,29.9,10,,2016-01-10T05:59:10,2016-01-10T20:21:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,94927099999,95716099999,94926099999"
