name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2024-01-01,80,58.4,66.5,80.4,58.4,66.6,56.7,72,0,0,0,,0,0,20.6,12.4,86.8,1021,76.3,6.2,304.9,26.4,10,10,2024-01-01T05:51:46,2024-01-01T20:21:25,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-02,80.5,63,70.5,81.7,63,70.5,61.8,75.7,0.028,100,8.33,rain,0,0,18.6,11,53.6,1018.3,76.9,6.2,214.3,18.4,10,10,2024-01-02T05:52:31,2024-01-02T20:21:36,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-03,85.5,64.2,72.3,86.7,64.2,72.7,64.2,78,0.13,100,12.5,rain,0,0,15,14.1,340,1016,82.6,6.2,232.5,20.2,10,30,2024-01-03T05:53:17,2024-01-03T20:21:44,0.73,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-04,74.3,62.9,67.3,74.3,62.9,67.3,63.8,89.3,0.38,100,12.5,rain,0,0,24.6,12.7,105.1,1017.6,90.1,6.2,168.7,14.7,7,10,2024-01-04T05:54:05,2024-01-04T20:21:51,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-05,71.8,58.8,64.9,71.8,58.8,64.9,56.5,75.1,0.001,100,4.17,rain,0,0,22.1,18.6,85.3,1021.5,86.5,6.2,154.7,13.3,7,10,2024-01-05T05:54:54,2024-01-05T20:21:55,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"YSCB,95925099999,F4257,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-06,76.8,57.1,65.3,76.8,57.1,65.3,51.5,63,0,0,0,,0,0,23.9,14.4,73.1,1020.7,74.7,6.2,359.6,31,10,10,2024-01-06T05:55:44,2024-01-06T20:21:58,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-07,80.8,57.7,69.2,81.6,57.7,69.2,58.2,69.3,0,0,0,rain,0,0,15.2,10,16.6,1016.1,85.6,6.2,248.8,21.3,10,10,2024-01-07T05:56:35,2024-01-07T20:21:59,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-08,74.8,66.2,69.3,74.8,66.2,69.3,66.8,92,0.546,100,16.67,rain,0,0,33.8,17.3,347.9,1010.1,80.3,6.2,88.4,7.6,4,10,2024-01-08T05:57:27,2024-01-08T20:21:58,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-09,80,62.4,68,81.2,62.4,68,61.2,80.8,0.256,100,8.33,rain,0,0,22.6,14.5,138.6,1012.4,85.1,6.2,225,19.4,10,10,2024-01-09T05:58:21,2024-01-09T20:21:54,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-01-10,87.2,62.4,72.9,86.2,62.4,72.8,61.5,72.1,0,0,0,,0,0,14.5,15.3,299.4,1014.2,61.5,6.2,322.8,27.9,10,10,2024-01-10T05:59:15,2024-01-10T20:21:49,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
