Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,Completedtask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate
2024-03-11,2,29,1,1,0,0,0,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-11,7,16,1,1,0,0,1,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-11,19,13,2,2,0,0,2,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-12,2,29,1,1,0,0,0,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-12,7,16,1,1,0,0,1,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-12,19,13,2,2,0,0,4,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-13,2,29,1,1,0,0,1,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-13,7,16,1,1,0,0,2,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-13,19,13,2,2,0,0,6,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-14,2,29,2,2,0,0,3,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-14,7,16,2,2,0,0,4,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-14,19,13,2,2,0,0,8,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-15,2,29,2,2,0,0,5,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-15,7,16,2,2,0,0,5,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-15,19,13,2,2,0,0,9,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-16,2,29,2,2,0,0,7,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-16,7,16,2,2,0,0,7,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-16,19,13,2,2,0,0,11,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-17,2,29,2,2,0,0,7,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-17,7,16,2,2,0,0,7,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-17,19,13,2,2,0,0,11,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-18,2,29,2,2,0,0,9,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-18,5,14,1,1,0,0,1,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-30
2024-03-18,7,16,2,2,0,0,9,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-18,8,16,1,1,0,0,1,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-09
2024-03-18,19,13,2,2,0,0,13,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
2024-03-18,22,44,1,1,0,0,1,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-28
2024-03-18,29,33,1,1,0,0,1,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-15
2024-03-19,2,29,2,2,0,0,11,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-03
2024-03-19,5,14,1,1,0,0,2,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-30
2024-03-19,7,16,2,2,0,0,11,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-25
2024-03-19,8,16,2,2,0,0,3,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-09
2024-03-19,19,13,3,2,0,1,15,2249.0,2024-03-11,2024-04-19,2024-03-11,2024-04-19
