Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,Completedtask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate
2024-03-11,2,29,1,1,0,0,1,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-11,7,16,1,1,0,0,1,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-11,19,13,2,2,0,0,2,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-12,2,29,1,1,0,0,2,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-12,7,16,1,1,0,0,2,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-12,19,13,2,2,0,0,4,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-13,2,29,1,1,0,0,3,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-13,7,16,1,1,0,0,3,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-13,19,13,2,2,0,0,6,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-14,2,29,2,2,0,0,5,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-14,7,16,2,2,0,0,5,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-14,19,13,2,2,0,0,8,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-15,2,29,2,2,0,0,7,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-15,7,16,2,2,0,0,7,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-15,19,13,2,2,0,0,9,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-16,2,29,2,2,0,0,9,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-16,7,16,2,2,0,0,8,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-16,19,13,2,2,0,0,11,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-17,2,29,2,2,0,0,9,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-17,7,16,2,2,0,0,8,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-17,19,13,2,2,0,0,11,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-18,2,29,2,2,0,0,11,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-18,5,14,1,1,0,0,1,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-18,7,16,2,2,0,0,10,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-18,8,16,1,1,0,0,1,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-18,19,13,2,2,0,0,13,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-18,22,44,1,1,0,0,1,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-18,29,33,1,1,0,0,1,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-19,2,29,2,2,0,0,13,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-19,5,14,1,1,0,0,2,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-19,7,16,2,2,0,0,12,0.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-19,8,16,2,2,0,0,3,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-19,19,13,3,2,0,1,16,2249.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-19,22,44,1,1,0,0,2,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-19,29,33,2,2,0,0,3,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-20,2,29,2,2,0,0,15,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-20,5,14,1,1,0,0,3,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-20,7,16,3,2,0,1,14,1478.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-20,8,16,2,2,0,0,5,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-20,19,13,3,2,0,1,18,2249.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-20,22,44,2,2,0,0,4,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-20,29,33,3,3,0,0,6,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-21,2,29,2,1,0,1,17,2535.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-21,5,14,2,2,0,0,5,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-21,7,16,4,2,0,2,16,1976.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-21,8,16,2,2,0,0,7,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-21,19,13,4,2,0,2,20,3337.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-21,22,44,3,3,0,0,7,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-21,29,33,3,3,0,0,9,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-22,2,29,4,2,0,2,20,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-22,5,14,2,2,0,0,7,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-22,7,16,5,2,0,3,19,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-22,8,16,2,2,0,0,9,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-22,19,13,5,2,1,3,22,4065.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-22,22,44,3,3,0,0,10,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-22,29,33,3,3,0,0,12,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-23,2,29,4,2,0,2,21,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-23,5,14,2,2,0,0,8,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-23,7,16,5,2,0,3,21,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-23,8,16,2,2,0,0,9,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-23,19,13,5,1,1,4,23,4740.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-23,22,44,3,3,0,0,12,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-23,29,33,3,3,0,0,15,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-24,2,29,4,2,0,2,21,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-24,5,14,2,2,0,0,8,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-24,7,16,5,2,0,3,21,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-24,8,16,2,2,0,0,9,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-24,19,13,5,1,1,4,23,4740.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-24,22,44,3,3,0,0,15,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-24,29,33,3,3,0,0,18,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-25,2,29,4,2,0,2,23,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-25,5,14,2,2,0,0,10,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-25,6,37,1,1,0,0,1,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-28
2024-03-25,7,16,5,2,0,3,22,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-25,8,16,2,2,0,0,11,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-25,17,30,1,1,0,0,1,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-14
2024-03-25,19,13,6,1,0,5,25,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-25,22,44,3,3,0,0,18,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-25,29,33,3,3,0,0,20,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-26,2,29,6,2,0,4,27,5622.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-26,5,14,2,2,0,0,12,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
2024-03-26,6,37,2,2,0,0,2,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-28
2024-03-26,7,16,5,2,1,3,23,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-05-03
2024-03-26,8,16,2,1,0,1,13,1577.0,2024-03-18,2024-05-09,2024-03-18,2024-05-14
2024-03-26,17,30,1,1,0,0,2,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-14
2024-03-26,19,13,6,1,0,5,26,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-22
2024-03-26,22,44,3,3,0,0,21,0.0,2024-03-18,2024-05-26,2024-03-18,2024-05-29
2024-03-26,29,33,3,3,0,0,22,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-17
2024-03-27,2,29,6,1,0,5,29,6416.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-27,5,14,2,1,0,1,14,1128.0,2024-03-18,2024-04-26,2024-03-18,2024-04-26
