Date,ProjectID,TotalTask,StartedTask,OnGoingTask,DelayedTask,CompletedTask,WorkDay,TotalSpent,StartDate,EndDate,ActualStartDate,ActualEndDate
2024-03-11,2,29,1,1,0,0,1,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-11,7,16,1,1,0,0,1,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-11,19,13,2,2,0,0,2,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-12,2,29,1,1,0,0,2,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-12,7,16,1,1,0,0,2,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-12,19,13,2,2,0,0,4,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-13,2,29,1,1,0,0,3,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-13,7,16,1,1,0,0,3,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-13,19,13,2,2,0,0,6,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-14,2,29,2,2,0,0,5,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-14,7,16,2,2,0,0,5,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-14,19,13,2,2,0,0,8,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-15,2,29,2,2,0,0,7,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-15,7,16,2,2,0,0,7,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-15,19,13,2,2,0,0,10,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-16,2,29,2,2,0,0,9,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-16,7,16,2,2,0,0,9,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-16,19,13,2,2,0,0,12,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-17,2,29,2,2,0,0,9,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-17,7,16,2,2,0,0,9,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-17,19,13,2,2,0,0,12,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-18,2,29,2,2,0,0,11,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-18,5,14,1,1,0,0,1,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-18,7,16,2,2,0,0,11,0.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-18,8,16,1,1,0,0,1,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-18,19,13,2,2,0,0,14,0.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-18,22,44,1,1,0,0,1,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-18,29,33,1,1,0,0,1,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-19,2,29,2,2,0,0,12,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-19,5,14,1,1,0,0,2,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-19,7,16,2,1,0,1,13,1478.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-19,8,16,2,2,0,0,2,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-19,19,13,3,2,0,1,16,2249.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-19,22,44,1,1,0,0,2,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-19,29,33,2,2,0,0,3,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-20,2,29,2,2,0,0,13,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-20,5,14,1,1,0,0,3,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-20,7,16,3,2,0,1,13,1478.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-20,8,16,2,2,0,0,4,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-20,19,13,3,1,0,2,18,3337.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-20,22,44,2,2,0,0,4,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-20,29,33,3,3,0,0,6,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-21,2,29,2,2,0,0,15,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-21,5,14,2,2,0,0,5,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-21,7,16,3,2,0,1,15,1478.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-21,8,16,2,2,0,0,6,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-21,19,13,4,2,0,2,20,3337.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-21,22,44,3,3,0,0,7,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-21,29,33,3,3,0,0,9,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-22,2,29,2,2,1,0,16,0.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-22,5,14,2,2,0,0,6,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-22,7,16,5,2,0,3,18,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-22,8,16,2,2,0,0,8,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-22,19,13,5,1,0,4,23,4471.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-22,22,44,3,3,0,0,9,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-22,29,33,3,3,0,0,12,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-23,2,29,4,2,0,2,20,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-23,5,14,2,2,0,0,8,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-23,7,16,5,2,0,3,20,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-23,8,16,2,2,0,0,8,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-23,19,13,5,0,0,5,24,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-23,22,44,3,3,0,0,12,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-23,29,33,3,3,0,0,15,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-24,2,29,4,2,0,2,20,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-24,5,14,2,2,0,0,8,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-24,7,16,5,2,0,3,20,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-24,8,16,2,2,0,0,8,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-24,19,13,5,0,0,5,24,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-24,22,44,3,3,0,0,15,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-24,29,33,3,3,0,0,18,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-25,2,29,4,2,0,2,21,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-25,5,14,2,2,0,0,9,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-25,6,37,1,1,0,0,0,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-25,7,16,5,2,0,3,22,3551.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-25,8,16,2,2,0,0,10,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-25,17,30,1,1,0,0,1,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-25,19,13,6,1,0,5,25,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-25,22,44,3,3,0,0,18,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-25,29,33,3,3,0,0,21,0.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-26,2,29,4,2,1,2,23,4340.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-26,5,14,2,2,0,0,11,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-26,6,37,2,2,0,0,2,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-26,7,16,5,1,1,4,24,3934.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-26,8,16,2,2,0,0,12,0.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-26,17,30,1,1,0,0,2,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-26,19,13,6,1,0,5,25,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-26,22,44,3,3,0,0,21,0.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-26,29,33,3,2,0,1,24,2373.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-27,2,29,5,2,1,3,25,5199.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-27,5,14,2,2,0,0,13,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-27,6,37,3,3,0,0,5,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-27,7,16,6,1,1,5,26,4150.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-27,8,16,3,2,0,1,15,1577.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-27,17,30,2,2,0,0,3,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-27,19,13,6,1,1,5,26,5146.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-27,22,44,3,2,0,1,24,2913.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-27,29,33,3,2,0,1,26,2373.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-28,2,29,6,2,1,4,27,5622.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-28,5,14,2,2,1,0,14,0.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-28,6,37,3,3,0,0,8,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-28,7,16,7,1,0,6,28,5126.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-28,8,16,4,2,0,2,18,1794.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-28,17,30,2,2,0,0,5,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-28,19,13,7,1,0,6,27,6128.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-28,22,44,3,2,0,1,26,2913.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-28,29,33,4,2,0,2,29,4612.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-29,2,29,7,2,1,5,30,6416.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-29,5,14,4,2,0,2,18,3753.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-29,6,37,3,3,0,0,11,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-29,7,16,7,1,0,6,28,5126.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-29,8,16,4,2,0,2,20,1794.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-29,17,30,2,2,0,0,7,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-29,19,13,7,1,0,6,28,6128.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-29,22,44,4,3,0,1,29,2913.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-29,29,33,4,1,0,3,31,5135.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-30,2,29,8,2,0,6,32,6799.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-30,5,14,4,2,0,2,19,3753.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-30,6,37,3,3,0,0,14,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-30,7,16,7,1,1,6,29,5126.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-30,8,16,4,2,0,2,20,1794.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-30,17,30,2,2,0,0,7,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-30,19,13,7,0,0,7,29,6347.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-30,22,44,5,2,0,3,32,6816.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-30,29,33,6,2,0,4,34,7348.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-03-31,2,29,8,2,0,6,32,6799.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-03-31,5,14,4,2,0,2,19,3753.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-03-31,6,37,3,3,0,0,16,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-03-31,7,16,7,1,1,6,29,5126.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-03-31,8,16,4,2,0,2,20,1794.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-03-31,17,30,2,2,0,0,7,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-03-31,19,13,7,0,0,7,29,6347.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-03-31,22,44,6,2,0,4,34,7443.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-03-31,29,33,7,2,0,5,37,8304.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-04-01,2,29,9,2,1,7,34,7160.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-04-01,5,14,4,1,0,3,21,4266.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-04-01,6,37,3,3,0,0,19,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-04-01,7,16,8,1,0,7,31,5662.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-04-01,8,16,4,2,0,2,22,1794.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-04-01,13,11,1,1,0,0,1,0.0,2024-04-01,2024-05-03,2024-04-01,2024-05-04
2024-04-01,16,25,1,1,0,0,1,0.0,2024-04-01,2024-06-07,2024-04-01,2024-06-11
2024-04-01,17,30,2,2,0,0,9,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-04-01,18,26,1,1,0,0,1,0.0,2024-04-01,2024-05-29,2024-04-01,2024-06-07
2024-04-01,19,13,8,1,0,7,30,6347.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-04-01,22,44,7,2,1,5,37,7665.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-04-01,29,33,8,2,0,6,38,9209.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-04-02,2,29,9,2,1,7,35,7160.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-04-02,5,14,5,2,0,3,23,4266.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-04-02,6,37,3,3,0,0,22,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-04-02,7,16,8,1,0,7,31,5662.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-04-02,8,16,5,1,0,4,24,3159.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-04-02,13,11,1,1,0,0,2,0.0,2024-04-01,2024-05-03,2024-04-01,2024-05-04
2024-04-02,16,25,1,1,0,0,2,0.0,2024-04-01,2024-06-07,2024-04-01,2024-06-11
2024-04-02,17,30,2,2,0,0,10,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-04-02,18,26,1,1,0,0,2,0.0,2024-04-01,2024-05-29,2024-04-01,2024-06-07
2024-04-02,19,13,8,1,0,7,31,6347.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-04-02,22,44,8,1,0,7,40,8976.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-04-02,29,33,8,2,1,6,38,9209.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-04-03,2,29,10,2,2,8,37,7454.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-04-03,5,14,5,2,1,3,23,4266.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-04-03,6,37,3,3,0,0,25,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-04-03,7,16,8,1,1,7,31,5662.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-04-03,8,16,6,2,0,4,26,3159.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
2024-04-03,13,11,1,1,0,0,3,0.0,2024-04-01,2024-05-03,2024-04-01,2024-05-04
2024-04-03,16,25,2,2,0,0,4,0.0,2024-04-01,2024-06-07,2024-04-01,2024-06-11
2024-04-03,17,30,2,2,0,0,12,0.0,2024-03-25,2024-06-07,2024-03-25,2024-06-17
2024-04-03,18,26,2,2,0,0,4,0.0,2024-04-01,2024-05-29,2024-04-01,2024-06-07
2024-04-03,19,13,8,1,0,7,32,6347.0,2024-03-11,2024-04-19,2024-03-11,2024-04-24
2024-04-03,22,44,9,2,0,7,42,8976.0,2024-03-18,2024-05-26,2024-03-18,2024-06-03
2024-04-03,29,33,10,3,1,7,42,9966.0,2024-03-18,2024-05-15,2024-03-18,2024-05-16
2024-04-04,2,29,12,2,1,10,41,8660.0,2024-03-11,2024-05-01,2024-03-11,2024-05-06
2024-04-04,5,14,6,2,0,4,26,4813.0,2024-03-18,2024-04-26,2024-03-18,2024-04-27
2024-04-04,6,37,3,3,0,0,27,0.0,2024-03-25,2024-05-27,2024-03-25,2024-05-30
2024-04-04,7,16,8,1,1,7,32,5662.0,2024-03-11,2024-04-25,2024-03-11,2024-04-30
2024-04-04,8,16,6,2,0,4,28,3159.0,2024-03-18,2024-05-09,2024-03-18,2024-05-10
