ID,Name,StartDate,EndDate,ParentTaskID,Cost,Priority,Progress,ProjectID,ActualStartDate,ActualEndDate,Status,Duration,AssigneeID,Trade,CreateDate
1,side,2024-05-13,2024-05-28,,2518.0,Critical,0,1,,,Not Started,12,1,4,2024-03-19
2,and,2024-05-30,2024-05-31,1,806.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
3,resource,2024-06-01,2024-06-03,2,393.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
4,beyond,2024-06-03,2024-06-04,3,790.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
5,report,2024-06-05,2024-06-06,4,916.0,Normal,0,1,,,Not Started,2,1,1,2024-03-19
6,agency,2024-06-06,2024-06-11,5,378.0,Normal,0,1,,,Not Started,4,1,1,2024-03-19
7,city,2024-06-11,2024-06-14,6,390.0,Normal,0,1,,,Not Started,4,1,3,2024-03-19
8,positive,2024-06-14,2024-06-18,7,539.0,Normal,0,1,,,Not Started,3,1,2,2024-03-19
9,walk,2024-06-20,2024-06-24,8,647.0,Normal,0,1,,,Not Started,3,1,2,2024-03-19
10,throw,2024-06-26,2024-06-28,9,248.0,Normal,0,1,,,Not Started,3,1,2,2024-03-19
11,myself,2024-06-29,2024-07-02,10,338.0,Normal,0,1,,,Not Started,3,1,2,2024-03-19
12,sister,2024-07-02,2024-07-04,11,518.0,Normal,0,1,,,Not Started,3,1,3,2024-03-19
13,central,2024-07-04,2024-07-05,12,999.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
14,life,2024-07-06,2024-07-09,13,935.0,Normal,0,1,,,Not Started,3,1,1,2024-03-19
15,discussion,2024-05-15,2024-05-24,,1990.0,Critical,0,1,,,Not Started,8,1,3,2024-03-19
16,yet,2024-05-24,2024-05-29,15,839.0,Normal,0,1,,,Not Started,4,1,3,2024-03-19
17,safe,2024-05-29,2024-05-31,16,852.0,Normal,0,1,,,Not Started,3,1,1,2024-03-19
18,wish,2024-05-31,2024-06-03,17,500.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
19,spend,2024-06-04,2024-06-05,18,212.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
20,light,2024-06-07,2024-06-12,19,211.0,Normal,0,1,,,Not Started,4,1,3,2024-03-19
21,plan,2024-06-12,2024-06-14,20,525.0,Normal,0,1,,,Not Started,3,1,3,2024-03-19
22,detail,2024-06-15,2024-06-17,21,406.0,Normal,0,1,,,Not Started,2,1,3,2024-03-19
23,down,2024-06-19,2024-06-20,22,422.0,Normal,0,1,,,Not Started,2,1,2,2024-03-19
24,someone,2024-06-20,2024-06-24,23,914.0,Normal,0,1,,,Not Started,3,1,2,2024-03-19
25,look,2024-03-11,2024-03-21,,2535.0,Critical,0,2,,,Not Started,10,1,5,2024-03-19
26,another,2024-03-22,2024-03-26,25,859.0,Normal,0,2,,,Not Started,4,1,1,2024-03-19
27,you,2024-03-26,2024-03-27,26,794.0,Normal,0,2,,,Not Started,2,1,2,2024-03-19
28,quality,2024-03-28,2024-03-30,27,361.0,Normal,0,2,,,Not Started,3,1,2,2024-03-19
29,foot,2024-04-01,2024-04-02,28,662.0,Normal,0,2,,,Not Started,2,1,1,2024-03-19
30,time,2024-04-03,2024-04-04,29,658.0,Normal,0,2,,,Not Started,2,1,3,2024-03-19
31,down,2024-04-06,2024-04-09,30,886.0,Normal,0,2,,,Not Started,3,1,3,2024-03-19
32,agent,2024-04-09,2024-04-12,31,239.0,Normal,0,2,,,Not Started,4,1,2,2024-03-19
33,interesting,2024-04-12,2024-04-13,32,377.0,Normal,0,2,,,Not Started,2,1,2,2024-03-19
34,concern,2024-04-15,2024-04-17,33,545.0,Normal,0,2,,,Not Started,3,1,1,2024-03-19
35,when,2024-04-18,2024-04-19,34,381.0,Normal,0,2,,,Not Started,2,1,2,2024-03-19
36,say,2024-04-19,2024-04-20,35,248.0,Normal,0,2,,,Not Started,2,1,2,2024-03-19
37,study,2024-04-21,2024-04-23,36,883.0,Normal,0,2,,,Not Started,3,1,3,2024-03-19
38,half,2024-04-24,2024-04-26,37,942.0,Normal,0,2,,,Not Started,3,1,2,2024-03-19
39,find,2024-04-27,2024-05-01,38,352.0,Normal,0,2,,,Not Started,4,1,1,2024-03-19
40,fact,2024-03-14,2024-03-22,,1805.0,Critical,0,2,,,Not Started,8,1,3,2024-03-19
41,plan,2024-03-22,2024-03-25,40,423.0,Normal,0,2,,,Not Started,3,1,3,2024-03-19
42,democratic,2024-03-26,2024-03-28,41,383.0,Normal,0,2,,,Not Started,3,1,1,2024-03-19
43,section,2024-03-29,2024-03-30,42,294.0,Normal,0,2,,,Not Started,2,1,1,2024-03-19
44,cold,2024-03-30,2024-04-01,43,544.0,Normal,0,2,,,Not Started,2,1,3,2024-03-19
45,affect,2024-04-01,2024-04-03,44,420.0,Normal,0,2,,,Not Started,3,1,3,2024-03-19
46,run,2024-04-05,2024-04-08,45,201.0,Normal,0,2,,,Not Started,3,1,2,2024-03-19
47,particular,2024-04-10,2024-04-13,46,242.0,Normal,0,2,,,Not Started,4,1,2,2024-03-19
48,home,2024-04-13,2024-04-15,47,732.0,Normal,0,2,,,Not Started,2,1,1,2024-03-19
49,all,2024-04-16,2024-04-18,48,867.0,Normal,0,2,,,Not Started,3,1,2,2024-03-19
50,house,2024-04-19,2024-04-23,49,732.0,Normal,0,2,,,Not Started,4,1,2,2024-03-19
51,space,2024-04-24,2024-04-27,50,937.0,Normal,0,2,,,Not Started,4,1,3,2024-03-19
52,thus,2024-04-27,2024-04-30,51,637.0,Normal,0,2,,,Not Started,3,1,2,2024-03-19
53,big,2024-04-30,2024-05-01,52,771.0,Normal,0,2,,,Not Started,2,1,2,2024-03-19
54,successful,2024-04-08,2024-04-17,,2035.0,Critical,0,3,,,Not Started,9,1,5,2024-03-19
55,news,2024-04-17,2024-04-19,54,805.0,Normal,0,3,,,Not Started,3,1,3,2024-03-19
56,manage,2024-04-20,2024-04-24,55,468.0,Normal,0,3,,,Not Started,4,1,3,2024-03-19
57,black,2024-04-25,2024-04-29,56,387.0,Normal,0,3,,,Not Started,4,1,3,2024-03-19
58,beautiful,2024-05-01,2024-05-04,57,752.0,Normal,0,3,,,Not Started,4,1,1,2024-03-19
59,interview,2024-05-05,2024-05-06,58,229.0,Normal,0,3,,,Not Started,2,1,2,2024-03-19
60,magazine,2024-05-08,2024-05-10,59,506.0,Normal,0,3,,,Not Started,3,1,3,2024-03-19
61,ever,2024-05-11,2024-05-15,60,487.0,Normal,0,3,,,Not Started,4,1,1,2024-03-19
62,political,2024-05-15,2024-05-16,61,445.0,Normal,0,3,,,Not Started,2,1,1,2024-03-19
63,environment,2024-05-16,2024-05-17,62,647.0,Normal,0,3,,,Not Started,2,1,1,2024-03-19
64,my,2024-05-19,2024-05-22,63,911.0,Normal,0,3,,,Not Started,4,1,3,2024-03-19
65,government,2024-05-24,2024-05-28,64,382.0,Normal,0,3,,,Not Started,4,1,3,2024-03-19
66,can,2024-05-29,2024-05-30,65,604.0,Normal,0,3,,,Not Started,2,1,3,2024-03-19
67,prepare,2024-05-30,2024-06-01,66,228.0,Normal,0,3,,,Not Started,3,1,2,2024-03-19
68,up,2024-06-03,2024-06-05,67,934.0,Normal,0,3,,,Not Started,3,1,1,2024-03-19
69,against,2024-06-05,2024-06-08,68,292.0,Normal,0,3,,,Not Started,4,1,1,2024-03-19
70,view,2024-06-10,2024-06-13,69,817.0,Normal,0,3,,,Not Started,4,1,3,2024-03-19
71,economy,2024-04-09,2024-04-16,,1486.0,Critical,0,3,,,Not Started,7,1,5,2024-03-19
72,recent,2024-04-17,2024-04-20,71,773.0,Normal,0,3,,,Not Started,4,1,1,2024-03-19
73,rate,2024-04-21,2024-04-23,72,302.0,Normal,0,3,,,Not Started,3,1,3,2024-03-19
74,structure,2024-04-24,2024-04-26,73,724.0,Normal,0,3,,,Not Started,3,1,1,2024-03-19
75,fund,2024-04-27,2024-04-30,74,533.0,Normal,0,3,,,Not Started,3,1,2,2024-03-19
76,central,2024-05-02,2024-05-06,75,959.0,Normal,0,3,,,Not Started,4,1,2,2024-03-19
77,people,2024-05-08,2024-05-11,76,331.0,Normal,0,3,,,Not Started,4,1,2,2024-03-19
78,less,2024-05-12,2024-05-14,77,323.0,Normal,0,3,,,Not Started,3,1,1,2024-03-19
79,opportunity,2024-05-16,2024-05-17,78,905.0,Normal,0,3,,,Not Started,2,1,2,2024-03-19
80,mouth,2024-05-17,2024-05-20,79,403.0,Normal,0,3,,,Not Started,3,1,2,2024-03-19
81,return,2024-05-21,2024-05-23,80,979.0,Normal,0,3,,,Not Started,3,1,1,2024-03-19
82,health,2024-04-29,2024-05-08,,2453.0,Critical,0,4,,,Not Started,9,1,4,2024-03-19
83,deep,2024-05-09,2024-05-13,82,463.0,Normal,0,4,,,Not Started,4,1,3,2024-03-19
84,imagine,2024-05-13,2024-05-14,83,849.0,Normal,0,4,,,Not Started,2,1,3,2024-03-19
85,minute,2024-05-15,2024-05-17,84,547.0,Normal,0,4,,,Not Started,3,1,2,2024-03-19
86,movie,2024-05-19,2024-05-21,85,385.0,Normal,0,4,,,Not Started,3,1,2,2024-03-19
87,quickly,2024-05-21,2024-05-22,86,854.0,Normal,0,4,,,Not Started,2,1,1,2024-03-19
88,while,2024-05-24,2024-05-27,87,948.0,Normal,0,4,,,Not Started,3,1,1,2024-03-19
89,everybody,2024-05-27,2024-05-29,88,391.0,Normal,0,4,,,Not Started,3,1,2,2024-03-19
90,its,2024-05-31,2024-06-04,89,216.0,Normal,0,4,,,Not Started,4,1,3,2024-03-19
91,pattern,2024-06-05,2024-06-06,90,276.0,Normal,0,4,,,Not Started,2,1,1,2024-03-19
92,team,2024-05-02,2024-05-15,,2985.0,Critical,0,4,,,Not Started,12,1,3,2024-03-19
93,dinner,2024-05-17,2024-05-18,92,576.0,Normal,0,4,,,Not Started,2,1,1,2024-03-19
94,hand,2024-03-18,2024-03-27,,1128.0,Critical,0,5,,,Not Started,9,1,5,2024-03-19
95,government,2024-03-29,2024-04-01,94,513.0,Normal,0,5,,,Not Started,3,1,3,2024-03-19
96,though,2024-04-02,2024-04-04,95,690.0,Normal,0,5,,,Not Started,3,1,1,2024-03-19
97,unit,2024-04-04,2024-04-05,96,399.0,Normal,0,5,,,Not Started,2,1,2,2024-03-19
98,risk,2024-04-07,2024-04-10,97,591.0,Normal,0,5,,,Not Started,4,1,1,2024-03-19
99,nature,2024-04-12,2024-04-15,98,292.0,Normal,0,5,,,Not Started,3,1,3,2024-03-19
100,investment,2024-04-15,2024-04-17,99,721.0,Normal,0,5,,,Not Started,3,1,1,2024-03-19
101,cold,2024-04-18,2024-04-19,100,823.0,Normal,0,5,,,Not Started,2,1,3,2024-03-19
102,court,2024-04-21,2024-04-23,101,433.0,Normal,0,5,,,Not Started,3,1,2,2024-03-19
103,effect,2024-04-25,2024-04-26,102,284.0,Normal,0,5,,,Not Started,2,1,3,2024-03-19
104,respond,2024-03-21,2024-03-28,,2625.0,Critical,0,5,,,Not Started,7,1,5,2024-03-19
105,significant,2024-03-29,2024-04-02,104,547.0,Normal,0,5,,,Not Started,4,1,2,2024-03-19
106,early,2024-04-03,2024-04-04,105,853.0,Normal,0,5,,,Not Started,2,1,3,2024-03-19
107,television,2024-04-06,2024-04-09,106,367.0,Normal,0,5,,,Not Started,3,1,2,2024-03-19
108,produce,2024-03-25,2024-04-05,,2327.0,Critical,0,6,,,Not Started,12,1,4,2024-03-19
109,produce,2024-04-06,2024-04-08,108,941.0,Normal,0,6,,,Not Started,3,1,3,2024-03-19
110,employee,2024-04-09,2024-04-10,109,421.0,Normal,0,6,,,Not Started,2,1,1,2024-03-19
111,write,2024-04-12,2024-04-13,110,235.0,Normal,0,6,,,Not Started,2,1,3,2024-03-19
112,lawyer,2024-04-15,2024-04-17,111,956.0,Normal,0,6,,,Not Started,3,1,3,2024-03-19
113,teacher,2024-04-19,2024-04-22,112,704.0,Normal,0,6,,,Not Started,4,1,1,2024-03-19
114,heavy,2024-04-23,2024-04-25,113,740.0,Normal,0,6,,,Not Started,3,1,3,2024-03-19
115,relationship,2024-04-25,2024-04-28,114,347.0,Normal,0,6,,,Not Started,4,1,2,2024-03-19
116,they,2024-04-29,2024-04-30,115,377.0,Normal,0,6,,,Not Started,2,1,3,2024-03-19
117,student,2024-04-30,2024-05-01,116,625.0,Normal,0,6,,,Not Started,2,1,3,2024-03-19
118,ball,2024-05-03,2024-05-05,117,695.0,Normal,0,6,,,Not Started,3,1,2,2024-03-19
119,daughter,2024-05-05,2024-05-06,118,257.0,Normal,0,6,,,Not Started,2,1,2,2024-03-19
120,under,2024-05-08,2024-05-10,119,336.0,Normal,0,6,,,Not Started,3,1,2,2024-03-19
121,trade,2024-05-12,2024-05-15,120,218.0,Normal,0,6,,,Not Started,4,1,2,2024-03-19
122,different,2024-05-17,2024-05-20,121,363.0,Normal,0,6,,,Not Started,4,1,1,2024-03-19
123,smile,2024-05-20,2024-05-23,122,710.0,Normal,0,6,,,Not Started,4,1,3,2024-03-19
124,send,2024-03-27,2024-04-05,,2393.0,Critical,0,6,,,Not Started,10,1,4,2024-03-19
125,common,2024-04-07,2024-04-09,124,760.0,Normal,0,6,,,Not Started,3,1,2,2024-03-19
