Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,IsBadWeather,WeatherAssessment,ActualStartDate,ActualEndDate
2018-08-13,1411,section,2018-08-13,2018-09-14,1359.0,Critical,1,4,On Progress,29,7,0,24.137931034482758,2018-08-13 00:00:00,2018-09-18
2018-08-13,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,1,4,On Progress,18,6,0,27.77777777777778,2018-08-13 00:00:00,2018-09-04
2018-08-13,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,1,8,On Progress,19,6,0,31.57894736842105,2018-08-13 00:00:00,2018-09-10
2018-08-13,3361,area,2018-08-13,2018-09-04,1325.0,Critical,1,10,On Progress,17,3,0,29.411764705882355,2018-08-13 00:00:00,2018-09-05
2018-08-13,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,0,10,On Progress,12,7,0,16.666666666666664,2018-08-13 00:00:00,2018-08-29
2018-08-14,1411,section,2018-08-13,2018-09-14,1359.0,Critical,2,4,On Progress,29,7,0,24.137931034482758,2018-08-13 00:00:00,2018-09-18
2018-08-14,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,2,4,On Progress,18,6,0,27.77777777777778,2018-08-13 00:00:00,2018-09-04
2018-08-14,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,2,8,On Progress,19,6,0,31.57894736842105,2018-08-13 00:00:00,2018-09-10
2018-08-14,3361,area,2018-08-13,2018-09-04,1325.0,Critical,2,10,On Progress,17,3,0,29.411764705882355,2018-08-13 00:00:00,2018-09-05
2018-08-14,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,1,10,On Progress,12,7,0,16.666666666666664,2018-08-13 00:00:00,2018-08-29
2018-08-15,1411,section,2018-08-13,2018-09-14,1359.0,Critical,2,4,On Progress,29,7,0,24.137931034482758,2018-08-13 00:00:00,2018-09-18
2018-08-15,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,1,4,On Progress,10,4,0,20.0,2018-08-15 00:00:00,2018-08-27
2018-08-15,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,3,4,On Progress,18,6,0,27.77777777777778,2018-08-13 00:00:00,2018-09-04
2018-08-15,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,3,8,On Progress,19,6,0,31.57894736842105,2018-08-13 00:00:00,2018-09-10
2018-08-15,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,1,8,On Progress,29,7,0,24.137931034482758,2018-08-15 00:00:00,2018-09-24
2018-08-15,3361,area,2018-08-13,2018-09-04,1325.0,Critical,2,10,On Progress,17,3,0,29.411764705882355,2018-08-13 00:00:00,2018-09-05
2018-08-15,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,2,10,On Progress,12,7,0,16.666666666666664,2018-08-13 00:00:00,2018-08-29
2018-08-16,1411,section,2018-08-13,2018-09-14,1359.0,Critical,3,4,On Progress,29,7,0,24.137931034482758,2018-08-13 00:00:00,2018-09-18
2018-08-16,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,2,4,On Progress,10,4,0,20.0,2018-08-15 00:00:00,2018-08-27
2018-08-16,1691,strategy,2018-08-13,2018-09-01,2279.0,Critical,3,4,On Progress,18,6,0,27.77777777777778,2018-08-13 00:00:00,2018-09-04
2018-08-16,2701,marriage,2018-08-13,2018-09-06,2173.0,Critical,4,8,On Progress,19,6,0,31.57894736842105,2018-08-13 00:00:00,2018-09-10
2018-08-16,2839,name,2018-08-16,2018-09-21,1513.0,Critical,1,8,On Progress,27,7,0,25.925925925925924,2018-08-16 00:00:00,2018-09-21
2018-08-16,2977,itself,2018-08-15,2018-09-24,1375.0,Critical,2,8,On Progress,29,7,0,24.137931034482758,2018-08-15 00:00:00,2018-09-24
2018-08-16,3361,area,2018-08-13,2018-09-04,1325.0,Critical,3,10,On Progress,17,3,0,29.411764705882355,2018-08-13 00:00:00,2018-09-05
2018-08-16,3526,capital,2018-08-13,2018-08-28,1761.0,Critical,3,10,On Progress,12,7,0,16.666666666666664,2018-08-13 00:00:00,2018-08-29
2018-08-16,3691,reality,2018-08-16,2018-08-31,1767.0,Critical,1,10,On Progress,12,7,0,41.66666666666667,2018-08-16 00:00:00,2018-08-31
2018-08-17,1411,section,2018-08-13,2018-09-14,1359.0,Critical,4,4,On Progress,29,7,1,24.137931034482758,2018-08-13 00:00:00,2018-09-18
2018-08-17,1551,reach,2018-08-15,2018-08-25,2672.0,Critical,3,4,On Progress,10,4,1,20.0,2018-08-15 00:00:00,2018-08-27
