Date,ID,Name,StartDate,EndDate,Cost,Priority,Progress,ProjectID,Status,Duration,Trade,IsBadWeather,WeatherAssessment,ActualStartDate,ActualEndDate
2020-01-20,66,entire,2020-01-20,2020-01-29,2418.0,Critical,1,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-20,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,1,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-20,102,away,2020-01-20,2020-01-30,2402.0,Critical,1,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-20,116,your,2020-01-20,2020-01-31,2325.0,Critical,1,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-20,283,simple,2020-01-20,2020-01-29,1389.0,Critical,1,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-20,299,must,2020-01-20,2020-01-29,2486.0,Critical,1,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-21,66,entire,2020-01-20,2020-01-29,2418.0,Critical,2,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-21,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,2,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-21,102,away,2020-01-20,2020-01-30,2402.0,Critical,2,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-21,116,your,2020-01-20,2020-01-31,2325.0,Critical,2,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-21,283,simple,2020-01-20,2020-01-29,1389.0,Critical,2,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-21,299,must,2020-01-20,2020-01-29,2486.0,Critical,2,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
2020-01-22,66,entire,2020-01-20,2020-01-29,2418.0,Critical,3,3,On Progress,10,5,0,10.0,2020-01-20 00:00:00,2020-01-29
2020-01-22,88,arrive,2020-01-20,2020-01-29,1154.0,Critical,3,4,On Progress,10,3,0,10.0,2020-01-20 00:00:00,2020-02-01
2020-01-22,102,away,2020-01-20,2020-01-30,2402.0,Critical,3,4,On Progress,11,5,0,18.181818181818183,2020-01-20 00:00:00,2020-01-31
2020-01-22,116,your,2020-01-20,2020-01-31,2325.0,Critical,2,4,On Progress,12,3,0,25.0,2020-01-20 00:00:00,2020-02-03
2020-01-22,283,simple,2020-01-20,2020-01-29,1389.0,Critical,3,10,On Progress,8,5,0,12.5,2020-01-20 00:00:00,2020-01-29
