name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
australia,2024-04-01,82.3,51.7,65.3,80.6,51.7,65,51.4,68.4,0,0,0,,0,0,14.3,8.1,53.7,1019.2,58.4,5,197,17,7,10,2024-04-01T07:16:17,2024-04-01T18:57:53,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,F0067"
australia,2024-04-02,71.5,53.5,62.6,71.5,53.5,62.6,47.6,60.3,0.009,100,4.17,rain,0,0,34.4,23,304.6,1012.5,47.1,6.2,126,10.8,8,10,2024-04-02T07:17:05,2024-04-02T18:56:30,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-03,72.7,40.9,56.8,72.7,37,56.1,44.7,69,0,0,0,,0,0,22.8,13.3,4.5,1019.3,24.7,6.2,187,16.2,9,10,2024-04-03T07:17:54,2024-04-03T18:55:07,0.8,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-04,67.8,53.6,60,67.8,53.6,60,51.1,73.4,0,0,0,rain,0,0,20.6,15.5,108.6,1025,96.2,6.2,96.3,8.5,4,10,2024-04-04T07:18:42,2024-04-04T18:53:44,0.84,Overcast,Cloudy skies throughout the day.,cloudy,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-05,60.8,55.4,57.2,60.8,55.4,57.2,53.5,87.8,0.206,100,12.5,rain,0,0,36.7,14.6,152.9,1025.6,97.3,6.1,42.5,3.7,3,10,2024-04-05T07:19:30,2024-04-05T18:52:22,0.87,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-06,69.5,55.6,60,69.5,55.6,60,57.4,92,1.168,100,12.5,rain,0,0,40,12.5,229.1,1016.3,87.8,5.3,115.9,9.9,7,10,2024-04-06T07:20:18,2024-04-06T18:51:00,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-07,68.9,55.5,61.3,68.9,55.5,61.3,56.5,85.3,0.087,100,12.5,rain,0,0,20.4,18.7,339.8,1011.8,87.3,6.2,100.7,9.1,5,10,2024-04-07T06:21:06,2024-04-07T17:49:38,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-08,71.6,50.3,59.5,71.6,50.3,59.5,51.5,78.8,0,0,0,rain,0,0,17,15.5,314.2,1011.2,70.8,6.2,175.4,15.3,9,10,2024-04-08T06:21:54,2024-04-08T17:48:17,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-09,56.1,42.7,50.2,56.1,38.6,48.3,44.4,80.5,0.134,100,8.33,rain,0,0,29.8,17.4,171.4,1012.6,69.1,6.2,54.6,4.7,2,10,2024-04-09T06:22:42,2024-04-09T17:46:57,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"YSCB,95925099999,94925099999,F0067,94927099999,95716099999,94926099999"
australia,2024-04-10,64.4,39.9,50.7,64.4,38.2,49.2,39.6,67.3,0.006,100,4.17,rain,0,0,28.4,16.2,190.4,1017.6,14.4,6.6,217.5,18.8,8,10,2024-04-10T06:23:30,2024-04-10T17:45:37,0.04,Rain,Clear conditions throughout the day with early morning rain.,rain,"YSCB,95925099999,F4257,94925099999,F0067,94927099999,95716099999,94926099999"
