Date,Hour,Temperature,RainProb,WindSpeed,HeavyWeather
2024-05-02,8.0,22.63,0.0,19.116,0
2024-05-02,9.0,20.96,0.0,14.04,0
2024-05-02,10.0,19.49,0.0,13.212,0
2024-05-02,11.0,18.29,0.0,13.14,0
2024-05-02,12.0,17.17,0.0,14.436,0
2024-05-02,13.0,16.19,0.0,15.840000000000002,0
2024-05-02,14.0,15.27,0.0,15.515999999999998,0
2024-05-02,15.0,14.43,0.0,15.3,0
2024-05-02,16.0,13.82,0.0,16.272,0
2024-05-02,17.0,13.41,0.0,17.172,0
2024-05-02,18.0,12.83,0.0,16.2,0
2024-05-02,19.0,12.08,0.0,14.868,0
2024-05-02,20.0,11.52,0.0,14.472,0
2024-05-02,21.0,11.13,0.0,14.796,0
2024-05-02,22.0,11.51,0.0,15.408,0
2024-05-02,23.0,14.14,0.0,11.448,0
2024-05-03,0.0,17.17,0.0,15.588,0
2024-05-03,1.0,19.75,0.0,18.36,0
2024-05-03,2.0,21.39,0.0,18.18,0
2024-05-03,3.0,22.61,0.0,16.344,0
2024-05-03,4.0,23.48,0.0,14.508,0
2024-05-03,5.0,24.09,0.0,15.12,0
2024-05-03,6.0,24.31,0.0,16.164,0
2024-05-03,7.0,23.96,0.0,17.244,0
2024-05-03,8.0,23.01,0.0,16.992,0
2024-05-03,9.0,21.13,0.0,12.816,0
2024-05-03,10.0,19.6,0.0,12.492,0
2024-05-03,11.0,18.34,0.0,12.708,0
2024-05-03,12.0,17.31,0.0,13.536,0
2024-05-03,13.0,16.36,0.0,13.464,0
2024-05-03,14.0,15.72,0.0,13.5,0
2024-05-03,15.0,15.02,0.0,13.464,0
2024-05-03,16.0,14.54,0.0,14.292000000000002,0
2024-05-03,17.0,13.6,0.0,12.996,0
2024-05-03,18.0,12.98,0.0,12.852,0
2024-05-03,19.0,12.58,0.0,13.284,0
2024-05-03,20.0,12.18,0.0,13.86,0
2024-05-03,21.0,11.69,0.0,13.356,0
2024-05-03,22.0,11.83,0.0,11.988,0
2024-05-03,23.0,14.89,0.0,9.18,0
2024-05-04,0.0,18.06,0.0,12.564000000000002,0
2024-05-04,1.0,20.29,0.0,16.128000000000004,0
2024-05-04,2.0,21.44,0.0,15.12,0
2024-05-04,3.0,22.4,0.0,14.184,0
2024-05-04,4.0,23.21,0.0,14.4,0
2024-05-04,5.0,23.74,0.0,15.084,0
2024-05-04,6.0,23.88,0.0,15.084,0
2024-05-04,7.0,23.63,0.0,15.48,0
2024-05-04,8.0,22.66,0.0,15.552,0
2024-05-04,9.0,20.83,0.0,11.952,0
2024-05-04,10.0,19.43,0.0,11.34,0
2024-05-04,11.0,18.17,0.0,11.772,0
2024-05-04,12.0,17.12,0.0,12.672,0
2024-05-04,13.0,16.22,0.0,12.6,0
2024-05-04,14.0,15.37,0.0,13.212,0
2024-05-04,15.0,14.79,0.0,14.256,0
2024-05-04,16.0,14.06,0.0,14.292000000000002,0
2024-05-04,17.0,13.38,0.0,14.544,0
2024-05-04,18.0,12.76,0.0,14.508,0
2024-05-04,19.0,12.14,0.0,14.04,0
2024-05-04,20.0,11.6,0.0,13.464,0
2024-05-04,21.0,10.97,0.0,12.204,0
2024-05-04,22.0,11.21,0.0,11.88,0
2024-05-04,23.0,14.0,0.0,8.82,0
2024-05-05,0.0,16.81,0.0,11.88,0
2024-05-05,1.0,18.86,0.0,17.388,0
2024-05-05,2.0,20.22,0.0,16.2,0
2024-05-05,3.0,21.46,0.0,15.696000000000002,0
2024-05-05,4.0,22.45,0.0,16.416,0
2024-05-05,5.0,23.03,0.0,16.848,0
2024-05-05,6.0,23.2,0.0,17.316,0
2024-05-05,7.0,22.97,0.0,17.172,0
2024-05-05,8.0,22.16,0.0,18.324,0
2024-05-05,9.0,20.49,0.0,15.552,0
2024-05-05,10.0,19.31,0.0,15.984000000000002,0
2024-05-05,11.0,18.34,0.0,16.776,0
2024-05-05,12.0,17.52,0.0,16.956,0
2024-05-05,13.0,16.72,0.0,16.992,0
2024-05-05,14.0,16.04,0.0,16.272,0
2024-05-05,15.0,15.46,0.0,15.444,0
2024-05-05,16.0,14.88,0.0,15.012,0
2024-05-05,17.0,14.41,0.0,15.264,0
2024-05-05,18.0,14.19,0.0,15.084,0
2024-05-05,19.0,14.03,0.0,15.12,0
2024-05-05,20.0,13.55,0.0,15.48,0
2024-05-05,21.0,13.41,0.0,15.624,0
2024-05-05,22.0,13.53,0.0,14.904,0
2024-05-05,23.0,15.55,0.0,19.404,0
2024-05-06,0.0,17.74,0.0,21.816,0
2024-05-06,1.0,19.63,0.0,22.932,0
2024-05-06,2.0,21.14,0.0,22.536,0
2024-05-06,3.0,22.27,0.0,21.96,0
2024-05-06,4.0,22.87,0.0,22.572,0
2024-05-06,5.0,23.37,0.0,22.176,0
2024-05-06,6.0,23.47,0.0,22.608,0
2024-05-06,7.0,23.15,0.0,22.932,0
2024-05-06,8.0,21.88,0.0,20.268,0
2024-05-06,9.0,20.46,0.0,15.192,0
2024-05-06,10.0,19.32,0.0,13.68,0
2024-05-06,11.0,18.31,0.0,14.364,0
2024-05-06,12.0,17.4,0.0,14.076,0
2024-05-06,13.0,16.57,0.0,14.688,0
2024-05-06,14.0,16.01,0.0,14.904,0
2024-05-06,15.0,15.66,0.0,14.544,0
2024-05-06,16.0,14.81,0.0,13.644,0
