datetime,tempmax,tempmin,temp,humidity,precip,snow,snowdepth,windspeed,conditions,description,raining,snowing,heavy_weather
2012-01-01,30.77777777777778,11.88888888888889,21.611111111111114,58.6,0.0,,,18.346476,partially cloudy,Becoming cloudy in the afternoon.,0,0,0
2012-01-02,32.0,13.0,23.166666666666668,57.4,0.0762,,,23.174496,"rain, partially cloudy",Partly cloudy throughout the day with early morning rain.,1,0,0
2012-01-03,34.0,17.666666666666668,25.833333333333332,75.4,0.0,,,20.599552000000003,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-04,29.0,16.77777777777778,22.555555555555554,71.1,0.0,,,23.013562,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-05,29.0,13.944444444444445,20.0,65.6,0.0254,,,31.38213,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,1,0,0
2012-01-06,23.833333333333336,13.11111111111111,17.666666666666668,63.0,0.0,,,27.680647999999998,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-07,29.833333333333332,8.0,18.944444444444443,57.3,0.0,,,25.910374,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-08,25.888888888888886,17.83333333333333,21.555555555555557,76.2,4.2672,,,29.450922000000002,"rain, partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,1,0,0
2012-01-09,22.61111111111111,15.11111111111111,18.944444444444443,52.8,0.0508,,,31.38213,rain,Clear conditions throughout the day with morning rain.,1,0,0
2012-01-10,23.555555555555557,10.0,16.666666666666668,51.0,0.0,,,34.439876,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-11,18.055555555555557,6.111111111111111,13.777777777777777,49.6,0.22859999999999997,,,42.164708,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-01-12,21.055555555555557,3.111111111111112,13.0,53.2,0.38099999999999995,,,22.369826,"rain, partially cloudy",Partly cloudy throughout the day with early morning rain.,1,0,0
2012-01-13,26.999999999999996,5.833333333333333,16.5,59.6,0.0,,,26.715044000000002,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-14,23.111111111111107,14.777777777777779,17.22222222222222,68.0,0.2794,,,28.485318,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-01-15,20.0,12.888888888888891,16.333333333333332,71.8,0.0,,,27.680647999999998,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-16,24.944444444444446,12.0,18.72222222222222,66.9,0.0762,,,27.680647999999998,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,1,0,0
2012-01-17,28.055555555555557,10.833333333333334,19.61111111111111,62.7,0.0,,,20.599552000000003,partially cloudy,Clearing in the afternoon.,0,0,0
2012-01-18,30.833333333333332,10.88888888888889,21.611111111111114,60.2,0.0,,,24.1401,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-19,31.0,13.777777777777777,22.22222222222222,56.1,0.0,,,25.105704,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-20,32.0,12.888888888888891,20.72222222222222,65.9,24.104599999999998,,,33.79614,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,1
2012-01-21,26.888888888888893,14.88888888888889,20.166666666666668,74.1,3.5052000000000003,,,29.933724,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-01-22,22.83333333333333,14.88888888888889,18.277777777777782,66.5,0.22859999999999997,,,27.680647999999998,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,1,0,0
2012-01-23,22.055555555555557,14.000000000000002,17.61111111111111,69.8,0.0,,,31.38213,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-24,27.055555555555557,9.000000000000002,18.388888888888886,65.6,0.22859999999999997,,,25.910374,"rain, partially cloudy",Partly cloudy throughout the day with morning rain.,1,0,0
2012-01-25,25.0,13.055555555555555,19.66666666666667,72.8,0.0,,,19.794882,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-26,26.888888888888893,16.555555555555557,21.055555555555557,68.5,0.8636,,,27.680647999999998,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,1,0,0
2012-01-27,24.833333333333332,16.0,19.88888888888889,67.3,0.0,,,31.38213,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-28,29.11111111111111,15.833333333333334,21.166666666666664,64.6,0.0,,,18.346476,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-29,29.055555555555557,14.000000000000002,21.944444444444443,64.0,0.0,,,29.450922000000002,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-01-30,26.0,18.944444444444443,22.333333333333332,81.2,20.700999999999997,,,42.486576,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,1,0,1
2012-01-31,27.055555555555557,14.222222222222221,19.944444444444446,63.6,0.0,,,28.324384000000002,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-01,18.111111111111107,12.944444444444443,15.277777777777779,65.7,0.0,,,24.1401,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-02,17.0,11.277777777777777,14.11111111111111,76.9,2.6161999999999996,,,14.805927999999998,"rain, overcast",Cloudy skies throughout the day with rain.,1,0,0
2012-02-03,17.0,12.777777777777779,15.166666666666666,95.4,31.0388,,,14.48406,"rain, overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,1,0,1
2012-02-04,26.0,10.944444444444446,19.61111111111111,72.6,0.0,,,22.852628,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-05,29.0,12.0,21.38888888888889,64.3,0.22859999999999997,,,29.77279,rain,Clear conditions throughout the day with morning rain.,1,0,0
2012-02-06,26.055555555555557,15.0,19.499999999999996,61.0,0.0,,,29.450922000000002,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-07,21.888888888888893,14.000000000000002,16.72222222222222,75.3,0.0,,,21.404222,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-08,21.0,15.0,17.444444444444443,73.8,0.0,,,24.1401,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-09,21.888888888888893,15.0,17.22222222222222,79.6,4.2672,,,20.599552000000003,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-10,24.72222222222222,12.888888888888891,17.166666666666668,75.7,6.8834,,,20.599552000000003,"rain, partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,1,0,0
2012-02-11,23.000000000000004,9.055555555555554,14.88888888888889,77.8,2.2605999999999997,,,23.013562,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,0
2012-02-12,25.055555555555554,9.944444444444445,17.22222222222222,69.4,0.4826,,,27.680647999999998,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-13,26.0,9.944444444444445,16.833333333333332,71.0,0.0508,,,31.703998,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,0
2012-02-14,24.0,15.0,18.388888888888886,71.5,1.5239999999999998,,,24.1401,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-15,26.166666666666664,9.5,18.22222222222222,70.3,0.254,,,13.035654,"rain, partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,1,0,0
2012-02-16,26.999999999999996,10.999999999999998,18.555555555555557,73.8,1.8795999999999997,,,22.369826,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-17,26.944444444444443,10.999999999999998,17.5,78.8,15.417799999999998,,,33.635206,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,1
2012-02-18,26.055555555555557,10.055555555555555,17.944444444444443,78.9,6.731,,,28.807185999999998,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-19,27.055555555555557,15.277777777777779,19.88888888888889,78.1,4.8006,,,24.1401,"rain, partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,0,0
2012-02-20,25.055555555555554,13.0,17.944444444444443,81.4,3.4798,,,22.369826,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-21,23.88888888888889,13.0,17.666666666666668,72.8,4.521199999999999,,,25.105704,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-22,23.77777777777778,13.0,16.944444444444443,75.0,0.2032,,,21.243288,"rain, partially cloudy",Partly cloudy throughout the day with rain.,1,0,0
2012-02-23,27.055555555555557,10.111111111111112,18.88888888888889,70.3,0.0,,,22.369826,partially cloudy,Partly cloudy throughout the day.,0,0,0
2012-02-24,30.0,12.666666666666664,21.444444444444443,53.6,0.0,,,13.035654,partially cloudy,Partly cloudy throughout the day.,0,0,0
